SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ABSL10BANK,EQ,04-03-2026,182.46,185.0,214.42,175.58,176.46,183.1,184.91,"4,332","8,01,046.81",128,812,18.74
ABSL10BANK,EQ,05-03-2026,183.1,183.1,185.0,175.62,176.0,178.28,176.52,5412,9.55,152,4564,84.33
ABSL10BANK,EQ,06-03-2026,178.28,177.01,177.01,172.75,177.0,173.02,174.15,2195,3.82,108,2104,95.85
ABSL10BANK,EQ,09-03-2026,173.02,179.0,179.0,166.0,168.08,168.11,167.36,2827,4.73,73,2680,94.8
ABSL10BANK,EQ,10-03-2026,168.11,171.48,171.48,169.33,170.97,170.92,170.22,1728,2.94,26,1012,58.56
ABSL10BANK,EQ,11-03-2026,170.92,170.1,170.11,167.5,167.59,167.59,168.82,1936,3.27,57,1890,97.62
ABSL10BANK,EQ,12-03-2026,167.59,167.59,167.59,164.57,164.9,165.13,165.17,1056,1.74,56,978,92.61
ABSL10BANK,EQ,13-03-2026,165.13,163.17,163.25,161.09,161.45,161.64,162.43,2839,4.61,57,2746,96.72
ABSL10BANK,EQ,16-03-2026,161.64,161.6,174.98,158.63,163.19,168.55,160.8,6824,10.97,81,3467,50.81
ABSL10BANK,EQ,17-03-2026,168.55,164.7,165.8,163.22,165.1,165.13,164.6,1738,2.86,51,1633,93.96
ABSL10BANK,EQ,18-03-2026,165.13,165.11,168.0,164.75,166.0,166.07,165.56,142,0.24,18,131,92.25
ABSL10BANK,EQ,19-03-2026,166.07,163.01,165.32,160.36,164.7,160.44,161.24,1601,2.58,45,1404,87.7
ABSL10BANK,EQ,20-03-2026,160.44,164.71,164.71,159.6,159.6,161.31,162.32,828,1.34,46,790,95.41
ABSL10BANK,EQ,23-03-2026,161.31,157.01,159.41,152.96,153.0,154.26,155.48,1835,2.85,48,1592,86.76
ABSL10BANK,EQ,24-03-2026,154.26,156.07,162.0,155.43,157.1,157.61,157.78,5030,7.94,48,3042,60.48
ABSL10BANK,EQ,25-03-2026,157.61,160.25,161.97,160.21,160.5,160.5,161.27,1592,2.57,15,1236,77.64
ABSL10BANK,EQ,27-03-2026,160.5,161.47,161.47,156.1,156.1,156.37,156.81,618,0.97,50,577,93.37
ABSL10BANK,EQ,30-03-2026,156.37,158.26,159.06,150.0,159.0,158.77,154.78,2053,3.18,66,1177,57.33
ABSL10BANK,EQ,01-04-2026,158.77,155.29,158.77,153.39,157.0,156.71,154.66,8060,12.47,104,7867,97.61
ABSL10BANK,EQ,02-04-2026,156.71,150.34,155.0,150.2,155.0,154.53,151.4,4889,7.4,102,3259,66.66
ABSL10BANK,EQ,06-04-2026,154.53,154.95,157.56,153.72,156.78,156.91,155.52,370,0.58,18,145,39.19
ABSL10BANK,EQ,07-04-2026,156.91,156.26,158.46,156.08,158.46,158.38,156.58,5549,8.69,27,2633,47.45
ABSL10BANK,EQ,08-04-2026,158.38,164.77,167.0,164.74,167.0,166.93,165.69,2219,3.68,25,1369,61.69
ABSL10BANK,EQ,09-04-2026,166.93,165.23,165.23,163.21,164.0,163.57,163.78,537,0.88,23,503,93.67
ABSL10BANK,EQ,10-04-2026,163.57,166.93,167.01,166.34,167.01,167.01,166.92,8,0.01,3,6,75.0
ABSL10BANK,EQ,13-04-2026,167.01,166.97,166.98,160.13,166.98,166.97,164.82,1642,2.71,44,1117,68.03
ABSL10BANK,EQ,15-04-2026,166.97,168.36,169.3,168.0,168.48,169.04,168.31,674,1.13,18,506,75.07
ABSL10BANK,EQ,16-04-2026,169.04,169.1,169.41,166.53,168.75,167.77,167.95,1100,1.85,49,1034,94.0
ABSL10BANK,EQ,17-04-2026,167.77,168.75,170.0,167.25,170.0,169.18,167.55,4182,7.01,79,2174,51.98
ABSL10BANK,EQ,20-04-2026,169.18,168.49,170.0,167.65,168.61,168.41,168.73,2075,3.5,21,1739,83.81
ABSL10BANK,EQ,21-04-2026,168.41,169.33,171.49,169.33,170.96,170.96,170.7,868,1.48,19,663,76.38
ABSL10BANK,EQ,22-04-2026,170.96,170.29,175.0,169.53,175.0,174.16,170.4,423,0.72,18,332,78.49
ABSL10BANK,EQ,23-04-2026,174.16,168.54,172.5,167.0,171.0,169.1,167.64,11620,19.48,125,3530,30.38
ABSL10BANK,EQ,24-04-2026,169.1,167.01,167.09,166.0,166.54,166.42,166.81,6671,11.13,34,2289,34.31
ABSL10BANK,EQ,27-04-2026,166.42,172.0,172.0,166.5,167.4,167.4,167.2,1138,1.9,22,836,73.46
ABSL10BANK,EQ,28-04-2026,167.4,167.4,167.4,164.0,164.0,164.89,165.82,978,1.62,41,898,91.82
ABSL10BANK,EQ,29-04-2026,164.89,165.71,166.11,164.88,165.0,165.0,165.25,322,0.53,22,306,95.03
ABSL10BANK,EQ,30-04-2026,165.0,162.59,163.85,162.26,163.45,163.45,162.49,410,0.67,19,407,99.27
ABSL10BANK,EQ,04-05-2026,163.45,164.9,168.77,162.86,163.35,163.35,164.2,1350,2.22,48, 1257, 93.11
