SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ABSLMSCIN,EQ,20-02-2026,30.38,30.39,30.41,30.09,30.09,30.27,30.13,"4,841","1,45,857.56",27,997,20.59
ABSLMSCIN,EQ,23-02-2026,30.27,31.25,32.69,30.16,30.22,30.24,30.83,646,0.2,42,454,70.28
ABSLMSCIN,EQ,24-02-2026,30.24,30.0,30.13,30.0,30.03,30.03,30.04,182,0.05,5,180,98.9
ABSLMSCIN,EQ,25-02-2026,30.03,30.32,30.36,30.15,30.25,30.29,30.24,76,0.02,6,76,100.0
ABSLMSCIN,EQ,26-02-2026,30.29,30.3,30.33,30.29,30.31,30.31,30.31,87,0.03,7,85,97.7
ABSLMSCIN,EQ,27-02-2026,30.31,29.95,30.12,29.91,29.95,29.97,30.0,1282,0.38,17,1166,90.95
ABSLMSCIN,EQ,02-03-2026,29.97,29.64,30.11,29.39,29.57,29.57,29.53,728,0.21,21,720,98.9
ABSLMSCIN,EQ,04-03-2026,29.57,28.95,29.13,28.65,28.95,29.0,28.9,260,0.08,20,156,60.0
ABSLMSCIN,EQ,05-03-2026,29.0,29.15,29.24,29.11,29.16,29.16,29.15,117,0.03,17,110,94.02
ABSLMSCIN,EQ,06-03-2026,29.16,29.31,29.45,29.01,29.01,29.07,29.28,151,0.04,16,58,38.41
ABSLMSCIN,EQ,09-03-2026,29.07,28.35,29.5,28.28,29.5,29.5,28.56,127,0.04,23,42,33.07
ABSLMSCIN,EQ,10-03-2026,29.5,29.5,29.5,28.75,29.42,29.42,28.83,1135,0.33,24,1128,99.38
ABSLMSCIN,EQ,11-03-2026,29.42,28.94,28.95,28.5,28.5,28.54,28.6,2450,0.7,61,1877,76.61
ABSLMSCIN,EQ,12-03-2026,28.54,28.17,29.21,28.12,29.21,29.21,28.22,44,0.01,5,43,97.73
ABSLMSCIN,EQ,13-03-2026,29.21,28.1,28.98,27.57,28.98,28.03,27.99,9295,2.6,127,7787,83.78
ABSLMSCIN,EQ,16-03-2026,28.03,28.03,28.03,27.13,27.13,27.77,27.56,1186,0.33,25,626,52.78
ABSLMSCIN,EQ,17-03-2026,27.77,27.67,28.45,27.66,27.9,28.38,27.96,500,0.14,21,308,61.6
ABSLMSCIN,EQ,18-03-2026,28.38,28.36,28.38,28.36,28.38,28.36,28.36,1119,0.32,10,1119,100.0
ABSLMSCIN,EQ,19-03-2026,28.36,28.38,28.38,27.22,27.22,27.23,27.65,472,0.13,11,470,99.58
ABSLMSCIN,EQ,20-03-2026,27.23,28.23,28.23,27.52,27.52,27.52,27.53,377,0.1,4,376,99.73
ABSLMSCIN,EQ,23-03-2026,27.52,27.65,27.65,26.7,26.75,26.75,26.8,1557,0.42,18,1552,99.68
ABSLMSCIN,EQ,24-03-2026,26.75,27.75,27.75,26.88,27.15,27.15,27.1,1452,0.39,4, 1452, 100.00
