SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ACETEC,ST,09-03-2026,112.0,112.0,117.6,111.8,117.6,117.6,112.13,"19,54,800","21,91,93,740.00",642,"19,54,800",100.0
ACETEC,ST,10-03-2026,117.6,120.05,123.45,114.0,123.45,123.45,120.66,454800,548.74,117, 452400,99.47
ACETEC,ST,11-03-2026,123.45,121.0,129.6,121.0,129.6,129.6,126.4,109200,138.03,64, 108000,98.9
ACETEC,ST,12-03-2026,129.6,136.05,136.05,136.0,136.05,136.05,136.05,316800,431.01,48, 314400,99.24
ACETEC,ST,13-03-2026,136.05,142.5,142.85,133.0,135.05,138.85,137.07,786000,1077.41,88, 488400,62.14
ACETEC,ST,16-03-2026,138.85,132.0,141.95,131.95,136.0,136.0,133.06,80400,106.98,35, 79200,98.51
ACETEC,ST,17-03-2026,136.0,133.0,136.0,132.95,134.1,134.45,133.03,1285200,1709.67,115, 1279200,99.53
ACETEC,ST,18-03-2026,134.45,127.75,139.3,127.75,135.0,133.0,132.91,470400,625.22,57, 459600,97.7
ACETEC,ST,19-03-2026,133.0,133.0,139.65,133.0,139.65,139.35,138.01,40800,56.31,29, 40800,100.0
ACETEC,ST,20-03-2026,139.35,135.0,146.3,134.9,144.0,145.05,139.1,1650000,2295.2,53, 1648800,99.93
ACETEC,SM,23-03-2026,145.05,155.95,164.0,142.0,143.0,143.7,152.69,148800,227.2,91, 80400,54.03
ACETEC,SM,24-03-2026,143.7,143.0,150.5,132.0,150.5,146.45,143.24,51600,73.91,36, 43200,83.72
ACETEC,SM,25-03-2026,146.45,146.5,150.0,143.25,150.0,145.7,145.17,57600,83.62,8, 55200,95.83
ACETEC,SM,27-03-2026,145.7,145.7,145.7,138.0,138.0,138.15,138.94,33600,46.68,17, 30000,89.29
ACETEC,SM,30-03-2026,138.15,135.05,135.05,123.0,125.5,126.95,128.67,56400,72.57,36, 37200,65.96
ACETEC,SM,01-04-2026,126.95,135.0,135.0,121.2,126.5,125.25,124.24,27600,34.29,12, 24000,86.96
ACETEC,SM,02-04-2026,125.25,125.0,134.95,125.0,134.95,134.95,127.49,4800,6.12,4, 4800,100.0
ACETEC,SM,06-04-2026,134.95,126.0,136.95,126.0,136.95,136.95,131.69,412800,543.6,16, 271200,65.7
ACETEC,SM,07-04-2026,136.95,139.0,142.0,134.0,134.0,135.25,136.59,63600,86.87,20, 52800,83.02
ACETEC,SM,08-04-2026,135.25,136.65,138.5,134.0,134.0,134.7,136.61,8400,11.48,7, 4800,57.14
ACETEC,SM,09-04-2026,134.7,134.9,134.9,134.9,134.9,134.9,134.9,1200,1.62,1, 1200,100.0
ACETEC,SM,10-04-2026,134.9,135.0,135.0,132.0,133.85,133.85,133.59,9600,12.82,6, 8400,87.5
ACETEC,SM,15-04-2026,133.85,127.0,130.5,121.0,129.4,129.4,126.98,4800,6.09,4, 4800,100.0
ACETEC,SM,16-04-2026,129.4,125.0,125.3,124.0,124.0,124.05,124.8,27600,34.45,14, 16800,60.87
ACETEC,SM,17-04-2026,124.05,124.0,129.5,124.0,125.0,125.0,126.48,14400,18.21,12, 12000,83.33
ACETEC,SM,20-04-2026,125.0,125.0,125.0,125.0,125.0,125.0,125.0,1200,1.5,1, 1200,100.0
ACETEC,SM,21-04-2026,125.0,120.5,121.0,120.3,120.5,120.5,120.59,8400,10.13,7, 6000,71.43
ACETEC,SM,22-04-2026,120.5,120.5,122.5,120.5,122.5,122.5,121.5,2400,2.92,2, 2400,100.0
ACETEC,SM,23-04-2026,122.5,120.0,120.0,115.0,119.7,119.7,116.28,247200,287.44,18, 241200,97.57
ACETEC,SM,24-04-2026,119.7,119.4,141.0,119.0,132.0,136.95,130.95,36000,47.14,28, 20400,56.67
ACETEC,SM,27-04-2026,136.95,132.0,132.0,130.05,130.05,130.05,131.35,3600,4.73,3, 2400,66.67
ACETEC,SM,28-04-2026,130.05,138.0,138.0,135.0,135.0,135.0,135.75,4800,6.52,4, 3600,75.0
ACETEC,SM,29-04-2026,135.0,137.0,137.0,133.0,133.0,133.5,134.34,7200,9.67,6, 6000,83.33
ACETEC,SM,04-05-2026,133.5,129.0,129.0,129.0,129.0,129.0,129.0,1200,1.55,1, 1200,100.0
ACETEC,SM,05-05-2026,129.0,126.0,126.0,126.0,126.0,126.0,126.0,1200,1.51,1, 1200, 100.00
