SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ACSTECH,EQ,20-04-2026,40.75,41.5,41.55,39.95,39.95,40.0,40.26,"33,643","13,54,575.75",96,"33,039",98.2
ACSTECH,EQ,21-04-2026,40.0,40.0,40.8,39.7,40.8,40.6,40.55,44537,18.06,127, 39692,89.12
ACSTECH,EQ,22-04-2026,40.6,40.0,41.4,40.0,41.4,41.4,41.28,39348,16.24,116, 34212,86.95
ACSTECH,EQ,23-04-2026,41.4,41.4,42.2,40.6,42.1,41.8,41.81,66023,27.6,364, 51594,78.15
ACSTECH,EQ,24-04-2026,41.8,41.8,41.95,41.0,41.0,41.0,41.04,3185,1.31,35, 3185,100.0
ACSTECH,EQ,27-04-2026,41.0,40.2,40.85,40.2,40.2,40.2,40.21,38349,15.42,114, 37471,97.71
ACSTECH,EQ,28-04-2026,40.2,39.4,39.4,39.4,39.4,39.4,39.4,11902,4.69,40, 11902,100.0
ACSTECH,EQ,29-04-2026,39.4,38.65,39.0,38.65,38.65,38.65,38.68,73563,28.45,180, 71870,97.7
ACSTECH,EQ,30-04-2026,38.65,37.9,38.6,37.9,38.35,37.95,37.93,22428,8.51,132, 20948,93.4
ACSTECH,EQ,04-05-2026,37.95,38.7,38.7,37.22,37.52,37.52,37.84,62762,23.75,391, 51022, 81.29
