SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AEPL,EQ,12-03-2026,18.25,18.3,18.98,16.96,18.3,18.19,17.79,"76,331","13,58,296.07",982,"12,654",16.58
AEPL,EQ,13-03-2026,18.19,18.31,19.0,17.23,17.23,17.54,17.53,66312,11.62,262, 62059,93.59
AEPL,EQ,16-03-2026,17.54,18.54,18.54,17.5,17.52,17.51,17.65,64940,11.46,224, 62618,96.42
AEPL,EQ,17-03-2026,17.51,17.51,18.69,17.51,17.6,17.62,17.87,35004,6.25,484, 27364,78.17
AEPL,EQ,18-03-2026,17.62,18.1,18.58,17.9,18.43,18.37,18.15,35720,6.48,179, 31202,87.35
AEPL,EQ,19-03-2026,18.37,18.5,18.5,17.37,17.45,17.48,17.72,10240,1.81,328, 5644,55.12
AEPL,EQ,20-03-2026,17.48,17.23,17.99,16.6,16.6,16.85,16.91,80388,13.59,526, 70038,87.12
AEPL,EQ,23-03-2026,16.85,17.35,17.35,16.05,16.06,16.15,16.16,47325,7.65,306, 39547,83.56
AEPL,EQ,24-03-2026,16.15,16.59,17.0,16.03,16.1,16.13,16.17,67264,10.87,182, 62735,93.27
AEPL,EQ,25-03-2026,16.13,16.0,16.97,16.0,16.03,16.08,16.13,133928,21.61,360, 120412,89.91
AEPL,EQ,27-03-2026,16.08,17.4,17.4,14.31,14.99,14.81,15.68,101162,15.86,649, 74396,73.54
AEPL,EQ,30-03-2026,14.81,14.99,15.59,13.25,13.57,13.99,14.55,51585,7.5,475, 29996,58.15
AEPL,EQ,01-04-2026,13.99,14.6,15.99,14.35,15.6,15.76,15.18,49147,7.46,597, 28946,58.9
AEPL,EQ,02-04-2026,15.76,15.5,16.04,14.6,15.63,15.37,15.28,14147,2.16,515, 7538,53.28
AEPL,EQ,06-04-2026,15.37,16.7,16.7,15.01,16.18,16.14,15.89,13617,2.16,326, 9252,67.94
AEPL,EQ,07-04-2026,16.14,16.22,16.8,16.0,16.64,16.6,16.43,4648,0.76,173, 3502,75.34
AEPL,EQ,08-04-2026,16.6,17.75,19.92,16.97,17.9,18.02,18.49,318241,58.86,954, 104879,32.96
AEPL,EQ,09-04-2026,18.02,18.6,19.6,18.18,18.42,18.41,18.86,65506,12.36,436, 23060,35.2
AEPL,EQ,10-04-2026,18.41,19.26,20.25,18.62,19.32,19.66,19.54,36082,7.05,523, 25512,70.71
AEPL,EQ,13-04-2026,19.66,19.64,19.64,18.6,19.35,19.21,19.07,24976,4.76,201, 16476,65.97
AEPL,EQ,15-04-2026,19.21,20.0,20.0,19.01,19.15,19.46,19.41,32588,6.32,215, 24500,75.18
AEPL,EQ,16-04-2026,19.46,19.95,19.95,19.05,19.45,19.43,19.35,9010,1.74,127, 6502, 72.16
