SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AMAGI,EQ,21-01-2026,361.0,318.0,356.95,318.0,348.3,348.25,341.24,"2,68,31,287","9,15,60,07,649.80","5,71,845","1,53,76,710",57.31
AMAGI,EQ,22-01-2026,348.25,346.6,369.05,346.6,369.05,365.6,360.29,6398227,23052.03,167959, 3403098,53.19
AMAGI,EQ,23-01-2026,365.6,371.95,391.8,365.6,373.9,375.65,379.96,4941533,18776.08,98632, 2056881,41.62
AMAGI,EQ,27-01-2026,375.65,375.5,375.95,356.25,361.0,360.1,363.23,1042101,3785.25,37347, 380571,36.52
AMAGI,EQ,28-01-2026,360.1,359.9,372.45,353.0,365.05,366.85,365.28,832466,3040.82,39029, 322213,38.71
AMAGI,EQ,29-01-2026,366.85,363.9,373.95,358.0,370.0,363.3,365.72,672932,2461.02,44906, 281942,41.9
AMAGI,EQ,30-01-2026,363.3,362.85,378.5,362.0,365.8,366.7,371.19,986941,3663.44,56524, 312329,31.65
AMAGI,EQ,01-02-2026,366.7,364.8,380.0,325.25,365.0,367.15,368.53,477410,1759.39,35259, 191582,40.13
AMAGI,EQ,02-02-2026,367.15,370.0,373.95,361.05,365.5,363.85,368.26,319891,1178.02,20318, 123692,38.67
AMAGI,EQ,03-02-2026,363.85,374.0,384.9,371.15,379.45,380.85,378.48,833115,3153.19,38139, 390281,46.85
AMAGI,EQ,04-02-2026,380.85,378.9,382.0,366.5,372.5,373.35,372.86,582033,2170.19,35626, 377683,64.89
AMAGI,EQ,05-02-2026,373.35,370.8,377.3,369.3,376.0,374.0,373.22,223615,834.58,20461, 136268,60.94
AMAGI,EQ,06-02-2026,374.0,372.3,385.8,370.75,375.7,376.55,377.1,277606,1046.86,19316, 116563,41.99
AMAGI,EQ,09-02-2026,376.55,378.95,389.9,377.05,387.0,386.8,384.22,477915,1836.23,27013, 300852,62.95
AMAGI,EQ,10-02-2026,386.8,389.4,421.0,388.75,415.1,416.8,407.73,1423984,5806.0,42674, 563382,39.56
AMAGI,EQ,11-02-2026,416.8,410.9,428.0,401.35,406.25,409.5,415.25,711277,2953.58,27623, 276223,38.83
AMAGI,EQ,12-02-2026,409.5,424.0,434.95,380.1,383.0,386.3,407.64,1551603,6324.96,44197, 448679,28.92
AMAGI,EQ,13-02-2026,386.3,385.0,385.95,367.4,372.0,377.05,376.51,605877,2281.16,36351, 214131,35.34
AMAGI,EQ,16-02-2026,377.05,372.05,388.75,372.05,381.15,381.5,383.72,248961,955.32,15093, 117052,47.02
AMAGI,EQ,17-02-2026,381.5,379.55,394.4,379.25,379.5,384.0,386.64,251583,972.73,11865, 100977,40.14
AMAGI,EQ,18-02-2026,384.0,378.1,392.75,378.1,387.2,390.2,387.02,239538,927.06,11817, 112528,46.98
AMAGI,EQ,19-02-2026,390.2,388.0,438.4,388.0,404.1,408.2,419.26,4494001,18841.55,91106, 750358,16.7
AMAGI,EQ,20-02-2026,408.2,408.2,418.0,405.55,411.05,410.75,411.4,528293,2173.42,16293, 197269,37.34
AMAGI,EQ,23-02-2026,410.75,412.05,415.9,397.6,399.0,400.7,403.0,284788,1147.71,9780, 143749,50.48
AMAGI,EQ,24-02-2026,400.7,400.65,400.65,378.6,381.0,383.15,385.48,507857,1957.68,30365, 337872,66.53
AMAGI,EQ,25-02-2026,383.15,384.95,388.2,376.3,385.0,386.45,383.44,321229,1231.71,16792, 185965,57.89
AMAGI,EQ,26-02-2026,386.45,388.0,396.0,379.5,391.25,388.7,386.72,152888,591.24,7585, 66780,43.68
AMAGI,EQ,27-02-2026,388.7,389.25,390.3,376.75,385.6,382.0,381.56,457427,1745.37,46442, 257298,56.25
AMAGI,EQ,02-03-2026,382.0,365.1,385.0,364.0,374.0,379.95,375.5,464669,1744.84,14488, 365672,78.7
AMAGI,EQ,04-03-2026,379.95,371.0,383.75,369.05,380.0,378.55,374.26,302533,1132.27,33408, 155584,51.43
AMAGI,EQ,05-03-2026,378.55,383.0,385.25,376.0,382.95,382.1,381.48,48197,183.86,3884, 19356,40.16
AMAGI,EQ,06-03-2026,382.1,381.0,389.5,377.6,384.0,386.3,386.06,95101,367.15,12700, 44431,46.72
AMAGI,EQ,09-03-2026,386.3,380.0,386.25,375.1,380.0,379.9,379.14,311070,1179.4,15562, 235099,75.58
AMAGI,EQ,10-03-2026,379.9,380.95,390.0,376.0,390.0,384.85,380.97,336497,1281.97,25295, 179220,53.26
AMAGI,EQ,11-03-2026,384.85,384.0,394.8,380.0,387.0,384.2,387.7,223383,866.06,12789, 135826,60.8
AMAGI,EQ,12-03-2026,384.2,384.95,385.2,376.1,379.5,380.65,381.45,90423,344.92,10646, 43890,48.54
AMAGI,EQ,13-03-2026,380.65,377.0,383.25,361.75,368.15,364.65,369.21,123237,455.01,8407, 50435,40.93
AMAGI,EQ,16-03-2026,364.65,367.95,374.0,342.1,372.35,361.75,354.84,144559,512.95,10976, 68834,47.62
AMAGI,EQ,17-03-2026,361.75,367.2,376.0,351.0,351.0,356.45,356.71,78788,281.04,11593, 32097,40.74
AMAGI,EQ,18-03-2026,356.45,354.0,356.5,346.8,351.9,351.2,351.22,212406,746.01,11662, 126372,59.5
AMAGI,EQ,19-03-2026,351.2,347.0,358.0,341.0,356.8,348.25,347.82,122911,427.51,8194, 82441,67.07
