SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AMIRCHAND,EQ,02-04-2026,212.0,200.0,200.0,180.0,180.0,180.0,191.66,"1,75,87,998","3,37,08,98,558.11","63,644","1,11,51,253",63.4
AMIRCHAND,EQ,06-04-2026,180.0,162.0,168.12,162.0,162.0,162.0,162.56,7662853,12456.96,34426, 4880915,63.7
AMIRCHAND,EQ,07-04-2026,162.0,145.8,145.8,145.8,145.8,145.8,145.8,88418,128.91,1318, 88418,100.0
AMIRCHAND,EQ,08-04-2026,145.8,131.22,135.38,131.22,131.22,131.22,131.26,6173766,8103.88,6187, 3859273,62.51
AMIRCHAND,EQ,09-04-2026,131.22,124.66,124.66,124.66,124.66,124.66,124.66,106583,132.87,1357, 106583,100.0
AMIRCHAND,EQ,10-04-2026,124.66,120.78,130.55,120.78,125.0,126.09,126.58,13225779,16741.04,71042, 3901339,29.5
AMIRCHAND,EQ,13-04-2026,126.09,123.4,124.4,119.79,119.79,119.79,120.93,2456632,2970.88,10452, 1052035,42.82
AMIRCHAND,EQ,15-04-2026,119.79,121.19,125.77,117.02,125.77,124.48,122.61,3248635,3982.99,16160, 1576240,48.52
AMIRCHAND,EQ,16-04-2026,124.48,128.0,129.7,121.79,126.8,127.44,126.54,7005165,8864.43,23286, 2854679,40.75
AMIRCHAND,EQ,17-04-2026,127.44,128.01,131.98,125.01,130.2,130.77,129.37,4860219,6287.62,16890, 2594760, 53.39
