SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AONESILVER,EQ,02-03-2026,10.0,11.0,12.0,10.8,11.11,11.03,11.03,"1,24,04,271","13,67,83,081.47","3,058","1,07,73,655",86.85
AONESILVER,EQ,04-03-2026,11.03,11.03,11.15,10.03,10.1,10.17,10.4,2989981,310.81,2682, 2047978,68.49
AONESILVER,EQ,05-03-2026,10.17,10.34,10.34,9.7,9.98,9.95,9.97,1230509,122.69,1999, 759403,61.71
AONESILVER,EQ,06-03-2026,9.95,10.0,10.2,9.82,9.87,9.88,10.01,779703,78.03,1306, 574775,73.72
AONESILVER,EQ,09-03-2026,9.88,10.0,10.0,9.76,9.81,9.81,9.82,1022649,100.47,1243, 549853,53.77
AONESILVER,EQ,10-03-2026,9.81,10.19,10.35,9.96,10.22,10.25,10.2,1344294,137.11,1112, 936747,69.68
AONESILVER,EQ,11-03-2026,10.25,10.3,10.35,10.05,10.1,10.08,10.14,891143,90.35,1479, 511442,57.39
AONESILVER,EQ,12-03-2026,10.08,10.04,10.2,9.88,10.2,10.13,10.02,1029502,103.16,1381, 470771,45.73
AONESILVER,EQ,13-03-2026,10.13,10.1,10.1,9.69,9.8,9.81,9.86,1442118,142.2,3663, 1143343,79.28
AONESILVER,EQ,16-03-2026,9.81,9.75,9.75,9.2,9.37,9.35,9.41,1490100,140.17,1968, 673432,45.19
AONESILVER,EQ,17-03-2026,9.35,9.78,9.78,9.4,9.56,9.48,9.64,1076599,103.77,1122, 504234,46.84
AONESILVER,EQ,18-03-2026,9.48,9.39,9.5,9.33,9.47,9.47,9.42,823649,77.57,1148, 351170,42.64
AONESILVER,EQ,19-03-2026,9.47,9.47,9.47,8.76,8.85,8.84,8.99,2019616,181.58,2957, 1075454,53.25
AONESILVER,EQ,20-03-2026,8.84,8.96,9.05,8.73,8.89,8.85,8.89,766610,68.18,1684, 445434,58.1
AONESILVER,EQ,23-03-2026,8.85,8.3,8.3,7.68,8.03,7.99,7.97,2251837,179.44,3329, 958529,42.57
AONESILVER,EQ,24-03-2026,7.99,8.5,8.55,8.01,8.51,8.48,8.36,1860398,155.52,1740, 925828,49.77
AONESILVER,EQ,25-03-2026,8.48,8.71,9.0,8.7,8.84,8.84,8.9,853566,75.99,1364, 514508,60.28
AONESILVER,EQ,27-03-2026,8.84,8.54,8.63,8.41,8.5,8.49,8.51,1163056,98.92,1735, 511350,43.97
AONESILVER,EQ,30-03-2026,8.49,8.66,8.75,8.5,8.72,8.71,8.62,497696,42.93,957, 304985,61.28
AONESILVER,EQ,01-04-2026,8.71,8.97,9.06,8.71,8.98,8.92,8.99,1018826,91.59,1186, 512770,50.33
AONESILVER,EQ,02-04-2026,8.92,8.74,8.81,8.45,8.8,8.66,8.64,811947,70.13,1403, 479242,59.02
AONESILVER,EQ,06-04-2026,8.66,8.79,8.92,8.64,8.92,8.91,8.79,592708,52.08,1333, 386759,65.25
AONESILVER,EQ,07-04-2026,8.91,8.95,8.95,8.75,8.81,8.82,8.81,858769,75.7,1059, 340616,39.66
AONESILVER,EQ,08-04-2026,8.82,9.06,9.26,9.05,9.19,9.22,9.18,1232850,113.14,1208, 615481,49.92
AONESILVER,EQ,09-04-2026,9.22,9.05,9.1,8.89,8.97,8.96,8.96,991877,88.87,966, 629422,63.46
AONESILVER,EQ,10-04-2026,8.96,9.05,9.16,9.0,9.04,9.06,9.09,761461,69.24,1029, 418133,54.91
AONESILVER,EQ,13-04-2026,9.06,9.05,9.05,8.9,9.0,8.96,8.97,382933,34.35,1059, 235159,61.41
AONESILVER,EQ,15-04-2026,8.96,9.5,9.74,9.35,9.42,9.41,9.46,1035568,98.0,1097, 650336,62.8
AONESILVER,EQ,16-04-2026,9.41,9.64,9.68,9.46,9.53,9.51,9.56,476998,45.59,979, 340277,71.34
AONESILVER,EQ,17-04-2026,9.51,9.5,9.59,9.37,9.55,9.53,9.46,993350,94.0,1091, 688974,69.36
AONESILVER,EQ,20-04-2026,9.53,9.76,9.79,9.45,9.48,9.47,9.51,591041,56.21,1142, 326098,55.17
AONESILVER,EQ,21-04-2026,9.47,9.51,9.54,9.41,9.47,9.47,9.47,394607,37.38,734, 261742,66.33
AONESILVER,EQ,22-04-2026,9.47,9.39,9.47,9.39,9.46,9.44,9.44,321499,30.34,645, 120534, 37.49
