SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
APSISAERO,ST,18-03-2026,110.0,153.0,160.65,147.2,160.65,160.65,154.75,"18,10,800","28,02,21,000.00",887,"18,08,400",99.87
APSISAERO,ST,19-03-2026,160.65,168.5,168.65,168.5,168.65,168.65,168.59,82800,139.59,48, 75600,91.3
APSISAERO,ST,20-03-2026,168.65,176.7,177.05,172.05,177.05,177.05,176.7,220800,390.15,99, 212400,96.2
APSISAERO,ST,23-03-2026,177.05,185.9,185.9,184.5,185.9,185.9,185.87,118800,220.81,81, 108000,90.91
APSISAERO,ST,24-03-2026,185.9,192.0,192.0,176.65,179.5,181.45,182.45,234000,426.92,151, 208800,89.23
APSISAERO,ST,25-03-2026,181.45,175.9,181.0,172.4,172.4,172.4,174.31,126000,219.63,72, 111600,88.57
APSISAERO,ST,27-03-2026,172.4,163.8,163.85,163.8,163.8,163.8,163.82,60000,98.29,31, 60000,100.0
APSISAERO,ST,30-03-2026,163.8,155.65,159.95,155.65,155.65,156.45,155.81,183600,286.06,136, 175200,95.42
APSISAERO,ST,01-04-2026,156.45,164.25,164.25,163.6,164.25,164.25,164.23,51600,84.74,33, 50400,97.67
APSISAERO,ST,02-04-2026,164.25,166.0,172.45,166.0,172.45,172.45,170.67,106800,182.28,76, 92400,86.52
APSISAERO,SM,06-04-2026,172.45,179.4,192.0,176.0,182.0,183.15,183.9,163200,300.13,129, 94800,58.09
APSISAERO,SM,07-04-2026,183.15,185.85,185.85,175.0,181.0,180.85,181.38,76800,139.3,59, 37200,48.44
APSISAERO,SM,08-04-2026,180.85,197.0,197.0,182.0,184.0,184.0,188.69,39600,74.72,29, 30000,75.76
APSISAERO,SM,09-04-2026,184.0,184.0,185.75,177.0,177.0,177.0,179.98,34800,62.63,26, 21600,62.07
APSISAERO,SM,10-04-2026,177.0,175.25,181.5,173.0,179.95,178.7,177.06,50400,89.24,39, 30000,59.52
APSISAERO,SM,13-04-2026,178.7,177.0,188.0,173.0,187.5,186.45,182.7,50400,92.08,37, 42000,83.33
APSISAERO,SM,15-04-2026,186.45,189.0,204.45,188.55,200.0,198.8,196.44,49200,96.65,39, 31200,63.41
APSISAERO,SM,16-04-2026,198.8,200.0,235.5,195.0,235.0,221.2,205.43,315600,648.34,137, 232800,73.76
APSISAERO,SM,17-04-2026,221.2,227.5,265.4,227.3,250.0,251.25,248.31,324000,804.53,202, 184800,57.04
APSISAERO,SM,20-04-2026,251.25,255.0,264.0,227.0,227.0,232.0,248.18,206400,512.25,153, 93600,45.35
APSISAERO,SM,21-04-2026,232.0,232.0,240.0,215.05,219.0,219.25,229.71,123600,283.92,88, 56400,45.63
APSISAERO,ST,22-04-2026,219.25,211.0,217.8,208.3,208.3,208.3,209.82,69600,146.04,45, 61200, 87.93
