SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ASHIKA,EQ,20-04-2026,353.8,372.0,394.0,368.5,382.0,382.25,378.66,"1,15,746","4,38,28,020.05",850,"27,097",23.41
ASHIKA,EQ,21-04-2026,382.25,388.65,402.8,388.65,398.0,398.55,398.35,68815,274.13,1095, 45810,66.57
ASHIKA,EQ,22-04-2026,398.55,404.0,405.95,391.15,394.0,394.9,398.85,47018,187.53,565, 13108,27.88
ASHIKA,EQ,23-04-2026,394.9,392.8,402.0,383.6,398.0,397.4,396.38,95529,378.66,2036, 41454,43.39
ASHIKA,EQ,24-04-2026,397.4,400.65,404.0,390.0,397.95,395.2,395.22,160066,632.61,1781, 71108,44.42
ASHIKA,EQ,27-04-2026,395.2,404.9,404.9,390.0,398.6,399.55,398.42,138056,550.04,1271, 59879,43.37
ASHIKA,EQ,28-04-2026,399.55,397.4,399.85,383.6,397.0,394.3,394.59,112466,443.78,1022, 86316,76.75
ASHIKA,EQ,29-04-2026,394.3,400.05,403.0,390.1,394.1,392.55,397.17,99558,395.41,1344, 23611,23.72
ASHIKA,EQ,30-04-2026,392.55,396.5,399.95,390.5,396.0,397.1,397.91,56137,223.38,970, 37645,67.06
ASHIKA,EQ,04-05-2026,397.1,405.8,405.8,389.0,391.75,394.75,396.33,44455,176.19,861, 28659,64.47
ASHIKA,EQ,06-05-2026,390.1,394.05,399.0,386.0,387.0,388.95,395.3,98558,389.6,795, 50267,51.0
ASHIKA,EQ,05-05-2026,394.75,393.1,396.7,388.0,388.0,390.1,391.86,26998,105.79,565, 14972, 55.46
