SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ASTAR,EQ,20-04-2026,620.0,633.0,633.0,625.0,625.0,625.0,629.0,5,"3,145.00",5,5,100.0
ASTAR,EQ,21-04-2026,625.0,575.1,639.9,555.05,610.2,610.2,629.15,243,1.53,35,192,79.01
ASTAR,EQ,22-04-2026,610.2,639.9,639.95,636.0,636.0,636.0,637.6,31,0.2,10,27,87.1
ASTAR,EQ,23-04-2026,636.0,636.0,636.0,636.0,636.0,636.0,636.0,5,0.03,4,4,80.0
ASTAR,EQ,24-04-2026,636.0,636.0,636.0,601.0,619.5,619.5,610.13,24,0.15,8,24,100.0
ASTAR,EQ,27-04-2026,619.5,621.0,664.95,601.0,660.0,644.5,617.64,123,0.76,29,73,59.35
ASTAR,EQ,28-04-2026,644.5,644.0,644.0,638.0,638.0,638.0,641.0,2,0.01,2,2,100.0
ASTAR,EQ,29-04-2026,638.0,653.85,658.5,632.0,649.95,649.95,645.87,218,1.41,21,214,98.17
ASTAR,EQ,30-04-2026,649.95,666.0,666.0,622.55,622.6,622.6,638.36,13,0.08,8,10,76.92
ASTAR,EQ,04-05-2026,622.6,672.0,698.0,622.1,635.6,661.25,671.09,405,2.72,78,177,43.7
ASTAR,EQ,06-05-2026,655.0,660.0,701.0,626.1,635.0,635.0,652.82,234,1.53,19,121,51.71
ASTAR,EQ,05-05-2026,661.25,635.6,655.0,635.6,655.0,655.0,646.04,262,1.69,5, 142, 54.20
