SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AYE,EQ,16-02-2026,129.0,129.0,133.8,120.55,128.8,128.91,126.98,"98,22,584","1,24,72,79,692.71","81,152","42,82,670",43.6
AYE,EQ,17-02-2026,128.91,128.9,149.69,128.8,136.25,134.93,138.95,14318825,19896.07,147321, 3526755,24.63
AYE,EQ,18-02-2026,134.93,136.93,141.42,128.4,129.5,129.68,133.4,5380130,7177.11,37443, 1143726,21.26
AYE,EQ,19-02-2026,129.68,131.0,134.3,128.12,129.35,129.14,131.4,1204432,1582.59,9530, 337443,28.02
AYE,EQ,20-02-2026,129.14,129.12,129.13,123.25,125.15,124.97,125.23,2030947,2543.26,12137, 815407,40.15
AYE,EQ,23-02-2026,124.97,126.0,127.99,120.66,126.0,123.03,125.09,1101435,1377.82,9125, 397697,36.11
AYE,EQ,24-02-2026,123.03,123.0,124.29,118.51,119.6,119.42,119.99,816394,979.61,9360, 292708,35.85
AYE,EQ,25-02-2026,119.42,119.21,121.59,118.37,119.7,119.99,119.86,758224,908.83,12770, 180143,23.76
AYE,EQ,26-02-2026,119.99,119.51,128.5,117.2,127.0,126.84,122.39,1159499,1419.16,10252, 401797,34.65
AYE,EQ,27-02-2026,126.84,125.0,125.0,118.0,118.1,119.05,120.63,781840,943.11,9662, 333485,42.65
AYE,EQ,02-03-2026,119.05,112.0,122.25,110.9,119.0,119.22,115.38,960160,1107.88,16136, 236384,24.62
AYE,EQ,04-03-2026,119.22,118.0,119.89,113.25,117.81,117.85,115.82,786440,910.89,11231, 144496,18.37
AYE,EQ,05-03-2026,117.85,119.0,121.4,113.83,114.46,115.26,116.65,582071,678.99,7553, 146662,25.2
AYE,EQ,06-03-2026,115.26,114.5,121.45,111.0,113.06,115.78,117.79,2490438,2933.49,22300, 393359,15.79
AYE,EQ,09-03-2026,115.78,111.49,115.0,108.0,111.7,111.6,110.89,759362,842.04,8701, 180518,23.77
AYE,EQ,10-03-2026,111.6,113.98,117.62,111.14,112.0,112.83,113.32,527687,597.96,6338, 147744,28.0
AYE,EQ,11-03-2026,112.83,112.83,113.52,108.0,108.24,108.86,110.7,371418,411.15,4652, 132296,35.62
AYE,EQ,12-03-2026,108.86,108.69,108.69,103.74,104.1,105.41,106.04,341297,361.91,4657, 85471,25.04
AYE,EQ,13-03-2026,105.41,105.4,105.4,98.01,98.45,99.5,101.23,488332,494.36,4898, 145194,29.73
AYE,EQ,16-03-2026,99.5,97.56,101.4,93.11,100.0,100.54,97.17,807322,784.51,10094, 234054,28.99
AYE,EQ,17-03-2026,100.54,100.04,102.9,97.44,101.85,102.29,100.08,380841,381.15,4770, 85289,22.39
AYE,EQ,18-03-2026,102.29,102.93,110.79,101.12,109.0,109.54,107.28,912642,979.09,11026, 329876,36.15
AYE,EQ,19-03-2026,109.54,108.99,108.99,103.08,103.99,104.04,105.82,275658,291.7,5156, 58850,21.35
AYE,EQ,20-03-2026,104.04,105.0,110.49,104.24,106.8,107.55,107.18,346626,371.52,8599, 96158,27.74
AYE,EQ,23-03-2026,107.55,105.0,105.0,96.11,104.99,102.6,100.15,930011,931.4,11533, 322907,34.72
AYE,EQ,24-03-2026,102.6,104.4,106.01,96.0,102.2,103.27,100.68,1356850,1366.13,10310, 519070,38.26
AYE,EQ,25-03-2026,103.27,103.9,113.0,103.0,111.1,111.9,109.68,871814,956.23,9083, 267828,30.72
AYE,EQ,27-03-2026,111.9,110.0,110.0,97.3,99.0,99.33,102.21,1016102,1038.56,11813, 403163,39.68
AYE,EQ,30-03-2026,99.33,99.49,102.0,93.38,94.5,95.13,96.43,590499,569.44,6563, 187476,31.75
AYE,EQ,01-04-2026,95.13,101.49,101.52,94.22,95.62,96.44,97.69,543084,530.54,7594, 149784,27.58
AYE,EQ,02-04-2026,96.44,95.12,95.12,88.22,90.8,91.02,90.87,2671077,2427.33,20084, 818487,30.64
AYE,EQ,06-04-2026,91.02,91.02,94.0,88.56,91.25,91.41,90.62,1693709,1534.9,17898, 388277,22.92
AYE,EQ,07-04-2026,91.41,91.41,92.11,89.0,90.2,90.07,90.75,1254830,1138.73,4775, 959285,76.45
AYE,EQ,08-04-2026,90.07,96.0,102.88,93.77,100.2,100.87,99.29,2173881,2158.45,18937, 907858,41.76
AYE,EQ,09-04-2026,100.87,100.9,107.35,97.61,103.11,103.86,104.0,1273698,1324.67,25571, 453707,35.62
AYE,EQ,10-04-2026,103.86,104.5,112.96,104.49,108.0,108.32,109.9,1017856,1118.66,16787, 400694,39.37
AYE,EQ,13-04-2026,108.32,104.91,110.5,102.03,109.89,108.96,108.59,649260,705.05,14887, 240134,36.99
AYE,EQ,15-04-2026,108.96,111.0,113.0,107.5,108.0,108.6,109.8,713939,783.88,8653, 376587,52.75
AYE,EQ,16-04-2026,108.6,110.74,118.0,108.71,118.0,117.13,114.95,1155180,1327.87,13092, 481668,41.7
AYE,EQ,17-04-2026,117.13,117.13,120.13,113.8,117.5,118.24,117.45,477404,560.71,5859, 224892,47.11
AYE,EQ,20-04-2026,118.24,118.24,127.0,117.9,124.0,123.93,124.34,1211739,1506.66,12078, 494973,40.85
AYE,EQ,21-04-2026,123.93,124.54,139.0,123.93,131.2,130.66,133.21,2323283,3094.9,25415, 965176,41.54
AYE,EQ,22-04-2026,130.66,131.78,139.5,130.66,139.0,138.44,136.96,1650540,2260.64,22738, 584458,35.41
AYE,EQ,23-04-2026,138.44,137.5,140.64,135.45,136.6,135.97,136.86,984628,1347.6,16505, 508569,51.65
AYE,EQ,24-04-2026,135.97,137.0,137.0,132.65,135.0,134.87,134.73,512167,690.05,11990, 213341,41.65
AYE,EQ,27-04-2026,134.87,137.57,158.0,137.16,146.99,148.42,149.39,18536140,27691.43,136321, 2302978, 12.42
