SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BANK10ADD,EQ,12-03-2026,17.05,16.52,16.69,16.49,16.5,16.5,16.57,"11,097","1,83,849.36",88,"7,076",63.76
BANK10ADD,EQ,13-03-2026,16.5,16.91,16.91,16.15,16.17,16.2,16.25,8641,1.4,141, 8018,92.79
BANK10ADD,EQ,16-03-2026,16.2,16.2,16.47,16.07,16.47,16.46,16.22,23686,3.84,60, 22700,95.84
BANK10ADD,EQ,17-03-2026,16.46,16.54,16.58,16.36,16.44,16.51,16.46,4907,0.81,59, 2691,54.84
BANK10ADD,EQ,18-03-2026,16.51,16.56,16.94,16.5,16.94,16.61,16.61,6683,1.11,25, 5013,75.01
BANK10ADD,EQ,19-03-2026,16.61,16.61,16.61,16.0,16.5,16.21,16.2,28816,4.67,197, 27312,94.78
BANK10ADD,EQ,20-03-2026,16.21,16.17,16.59,15.98,16.1,16.35,16.12,8386,1.35,124, 4284,51.09
BANK10ADD,EQ,23-03-2026,16.35,16.07,16.27,15.38,15.39,15.41,15.58,1313137,204.6,242, 1311488,99.87
BANK10ADD,EQ,24-03-2026,15.41,15.61,15.81,15.54,15.78,15.77,15.69,3417,0.54,31, 1869,54.7
BANK10ADD,EQ,25-03-2026,15.77,15.97,16.22,15.96,16.02,16.08,16.01,18372,2.94,64, 16887,91.92
BANK10ADD,EQ,27-03-2026,16.08,16.0,16.0,15.6,15.69,15.69,15.77,6439,1.02,120, 3662, 56.87
