SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BCPL,EQ,27-03-2026,61.94,61.0,74.0,60.0,74.0,72.28,70.54,"1,87,142","1,32,00,582.37","4,145","75,455",40.32
BCPL,EQ,30-03-2026,72.28,77.99,77.99,65.34,72.59,68.98,74.27,145091,107.76,3761, 45254,31.19
BCPL,EQ,01-04-2026,68.98,75.98,75.98,67.0,69.0,67.61,70.97,59248,42.05,1891, 21869,36.91
BCPL,EQ,02-04-2026,67.61,67.62,67.93,63.99,65.7,64.99,65.04,32798,21.33,908, 14853,45.29
BCPL,EQ,06-04-2026,64.99,69.8,70.98,65.95,66.06,67.23,68.28,60383,41.23,1553, 10555,17.48
BCPL,EQ,07-04-2026,67.23,65.95,74.45,65.58,68.0,67.78,67.52,43886,29.63,2506, 7357,16.76
BCPL,EQ,08-04-2026,67.78,69.0,72.7,68.0,68.3,68.38,69.48,32812,22.8,824, 16959,51.69
BCPL,EQ,09-04-2026,68.38,70.8,70.8,67.8,67.8,68.02,68.79,14565,10.02,564, 7296,50.09
BCPL,EQ,10-04-2026,68.02,68.02,69.7,66.02,66.3,66.64,67.74,28444,19.27,553, 20375,71.63
BCPL,EQ,13-04-2026,66.64,66.64,66.75,63.01,65.25,65.22,64.76,28557,18.49,960, 12681,44.41
BCPL,EQ,15-04-2026,65.22,68.0,68.0,66.26,67.4,67.38,67.21,37653,25.31,1725, 9759,25.92
BCPL,EQ,16-04-2026,67.38,68.9,69.0,67.0,69.0,68.39,67.92,23219,15.77,926, 9009,38.8
BCPL,EQ,17-04-2026,68.39,69.0,69.0,67.0,67.4,67.72,67.66,25150,17.02,801, 15276,60.74
BCPL,EQ,20-04-2026,67.72,67.73,68.0,66.85,68.0,67.78,67.62,12921,8.74,518, 7087,54.85
BCPL,EQ,21-04-2026,67.78,68.9,73.0,68.63,72.46,71.82,71.45,70889,50.65,1759, 32917,46.43
BCPL,EQ,22-04-2026,71.82,72.99,73.99,69.21,71.53,70.73,71.0,19145,13.59,779, 6042,31.56
BCPL,EQ,23-04-2026,70.73,70.73,72.38,69.21,69.45,69.69,70.68,16163,11.42,576, 7423,45.93
BCPL,EQ,24-04-2026,69.69,68.5,70.5,66.21,70.5,68.32,68.11,12489,8.51,505, 7466,59.78
BCPL,EQ,27-04-2026,68.32,68.32,72.0,67.98,71.94,71.03,69.98,17796,12.45,908, 9328,52.42
BCPL,EQ,28-04-2026,71.03,71.94,72.5,70.03,71.8,71.88,71.63,54652,39.15,2592, 21033,38.49
BCPL,EQ,29-04-2026,71.88,72.0,77.0,72.0,75.88,75.09,75.55,92932,70.21,1619, 53521,57.59
BCPL,EQ,30-04-2026,75.09,78.98,88.9,78.5,84.95,85.37,85.22,535988,456.76,9926, 147924,27.6
BCPL,EQ,04-05-2026,85.37,87.0,92.0,87.0,90.1,89.52,89.48,262862,235.21,3295, 112463,42.78
BCPL,EQ,06-05-2026,85.24,85.24,86.69,78.5,81.29,80.61,81.03,88794,71.95,2942, 43652,49.16
BCPL,EQ,05-05-2026,89.52,91.98,91.98,84.2,85.0,85.24,87.65,103114,90.38,1932, 53911, 52.28
