SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BI,EQ,20-04-2026,61.9,61.5,64.05,61.1,63.9,63.7,63.22,"1,732","1,09,489.95",17,"1,426",82.33
BI,EQ,21-04-2026,63.7,61.95,62.0,60.05,60.2,60.8,61.72,2207,1.36,34, 2183,98.91
BI,EQ,22-04-2026,60.8,62.0,62.0,60.3,60.6,61.95,61.9,3727,2.31,18, 3591,96.35
BI,EQ,23-04-2026,61.95,60.75,63.6,58.0,59.55,59.75,59.59,13904,8.29,170, 10534,75.76
BI,EQ,24-04-2026,59.75,64.95,64.95,57.9,63.45,63.1,59.88,10033,6.01,272, 7529,75.04
BI,EQ,27-04-2026,63.1,63.95,63.95,60.5,62.5,61.45,61.59,4013,2.47,179, 2847,70.94
BI,EQ,28-04-2026,61.45,63.45,63.45,60.0,61.6,60.85,60.84,3114,1.89,66, 2950,94.73
BI,EQ,29-04-2026,60.85,61.05,62.75,60.75,60.75,60.75,60.89,1840,1.12,52, 1810,98.37
BI,EQ,30-04-2026,60.75,60.75,61.7,59.5,60.5,59.75,60.16,2994,1.8,92, 2450,81.83
BI,EQ,04-05-2026,59.75,69.85,69.85,61.03,62.0,62.3,63.71,6262,3.99,160, 5098,81.41
BI,EQ,06-05-2026,61.29,65.0,65.0,61.1,61.1,61.27,62.13,857,0.53,29, 799,93.23
BI,EQ,05-05-2026,62.3,62.3,62.32,60.6,60.61,61.29,61.94,3563,2.21,50, 2913, 81.76
