SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BLACKROSE,EQ,20-04-2026,83.4,83.3,84.7,81.4,82.55,83.25,83.35,"4,296","3,58,052.40",87,"3,433",79.91
BLACKROSE,EQ,21-04-2026,83.25,85.0,86.8,81.55,83.95,83.55,84.13,3326,2.8,144, 2423,72.85
BLACKROSE,EQ,22-04-2026,83.55,83.9,85.0,80.05,83.5,83.3,83.13,8496,7.06,219, 7268,85.55
BLACKROSE,EQ,23-04-2026,83.3,82.0,85.6,82.0,85.6,85.0,84.17,10240,8.62,251, 8835,86.28
BLACKROSE,EQ,24-04-2026,85.0,85.0,85.0,83.05,84.65,84.05,83.89,7808,6.55,90, 7511,96.2
BLACKROSE,EQ,27-04-2026,84.05,86.2,86.2,83.5,85.0,84.75,84.3,6791,5.72,159, 5698,83.91
BLACKROSE,EQ,28-04-2026,84.75,84.0,85.5,83.0,85.35,83.8,84.59,8080,6.84,248, 7326,90.67
BLACKROSE,EQ,29-04-2026,83.8,84.0,87.5,84.0,85.15,86.35,85.97,5251,4.51,144, 4823,91.85
BLACKROSE,EQ,30-04-2026,86.35,85.95,86.6,84.0,85.45,84.75,84.83,3001,2.55,179, 2451,81.67
BLACKROSE,EQ,04-05-2026,84.75,86.45,86.45,83.55,84.91,84.4,84.55,9677,8.18,184, 6571, 67.90
