SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BLIL,EQ,20-04-2026,73.2,73.3,75.95,72.8,73.25,73.15,73.47,"35,667","26,20,442.15",271,"34,857",97.73
BLIL,EQ,21-04-2026,73.15,73.15,73.5,71.0,72.95,72.9,72.78,27004,19.65,546, 21730,80.47
BLIL,EQ,22-04-2026,72.9,74.4,74.4,72.0,73.15,73.05,72.61,49335,35.82,651, 31919,64.7
BLIL,EQ,23-04-2026,73.05,73.6,75.0,72.1,73.6,73.3,73.71,100210,73.86,1027, 64919,64.78
BLIL,EQ,24-04-2026,73.3,73.95,73.95,72.1,72.85,72.3,72.63,49077,35.64,668, 38764,78.99
BLIL,EQ,27-04-2026,72.3,72.1,73.45,72.05,73.35,72.9,72.67,34891,25.35,743, 24896,71.35
BLIL,EQ,28-04-2026,72.9,73.5,73.5,72.4,72.65,72.75,72.89,32464,23.66,514, 24365,75.05
BLIL,EQ,29-04-2026,72.75,73.0,75.2,72.8,73.15,73.4,73.79,159883,117.97,2080, 77371,48.39
BLIL,EQ,30-04-2026,73.4,73.05,73.9,72.75,72.8,73.25,73.23,59987,43.93,696, 48446,80.76
BLIL,EQ,04-05-2026,73.25,73.85,75.0,73.3,73.66,73.61,74.01,82663,61.18,935, 46763,56.57
BLIL,EQ,06-05-2026,73.42,74.79,74.79,74.0,74.42,74.47,74.33,70669,52.53,1059, 49930,70.65
BLIL,EQ,05-05-2026,73.61,73.54,73.67,73.01,73.31,73.42,73.35,45831,33.62,753, 35556, 77.58
