SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BNALTD,EQ,20-04-2026,390.0,439.0,439.0,420.0,420.0,420.0,433.21,56,"24,259.80",8,54,96.43
BNALTD,EQ,21-04-2026,420.0,420.0,420.0,398.95,414.9,401.6,400.26,61,0.24,9,59,96.72
BNALTD,EQ,23-04-2026,401.6,415.0,439.0,390.05,418.0,416.1,420.86,111,0.47,38,78,70.27
BNALTD,EQ,27-04-2026,416.1,341.9,465.0,340.5,365.5,365.5,399.77,405,1.62,21,363,89.63
BNALTD,EQ,28-04-2026,365.5,429.9,438.0,400.0,410.0,423.1,426.14,2970,12.66,222,825,27.78
BNALTD,EQ,29-04-2026,423.1,432.0,450.0,400.05,422.0,421.0,435.23,708,3.08,67,507,71.61
BNALTD,EQ,30-04-2026,421.0,422.05,422.05,390.2,400.0,399.85,400.39,717,2.87,63,553,77.13
BNALTD,EQ,04-05-2026,399.85,399.85,410.05,392.3,392.3,394.55,404.8,48,0.19,12,34,70.83
BNALTD,EQ,06-05-2026,400.75,396.8,396.8,389.9,389.9,389.95,392.14,685,2.69,34,526,76.79
BNALTD,EQ,05-05-2026,394.55,415.0,419.4,396.3,396.3,400.75,410.76,29,0.12,8, 28, 96.55
