SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BONLON,BE,20-02-2026,45.26,45.26,47.52,43.0,47.52,46.65,46.38,"7,311","3,39,101.16",55,-,-
BONLON,BE,23-02-2026,46.65,47.0,48.98,44.4,47.0,45.68,47.51,12261,5.83,97, -, -
BONLON,BE,24-02-2026,45.68,47.84,47.84,44.46,45.0,45.0,45.9,2777,1.27,50, -, -
BONLON,BE,25-02-2026,45.0,43.1,46.49,43.1,44.0,44.16,44.14,4943,2.18,102, -, -
BONLON,BE,26-02-2026,44.16,44.16,45.96,42.01,43.5,43.92,44.73,8544,3.82,88, -, -
BONLON,BE,27-02-2026,43.92,43.0,43.99,42.11,43.57,42.61,42.99,2553,1.1,88, -, -
BONLON,BE,02-03-2026,42.61,40.51,43.35,40.48,43.08,42.76,41.18,12380,5.1,140, -, -
BONLON,BE,04-03-2026,42.76,40.67,41.98,40.63,40.64,40.63,40.72,7596,3.09,105, -, -
BONLON,BE,05-03-2026,40.63,40.63,41.49,38.6,40.0,40.0,39.27,17165,6.74,172, -, -
BONLON,BE,06-03-2026,40.0,40.0,40.0,38.0,38.7,38.6,38.32,14227,5.45,111, -, -
BONLON,BE,09-03-2026,38.6,38.99,38.99,36.7,36.86,37.78,37.89,14534,5.51,121, -, -
BONLON,BE,10-03-2026,37.78,37.67,39.65,37.67,38.0,39.28,38.67,4912,1.9,64, -, -
BONLON,BE,11-03-2026,39.28,39.19,40.0,38.2,39.0,38.84,38.88,2330,0.91,53, -, -
BONLON,BE,12-03-2026,38.84,38.84,40.0,37.14,40.0,40.0,38.07,8053,3.07,59, -, -
BONLON,BE,13-03-2026,40.0,39.98,39.98,38.0,38.0,38.11,38.47,8770,3.37,75, -, -
BONLON,BE,16-03-2026,38.11,38.11,38.98,36.55,38.78,38.78,37.84,4457,1.69,54, -, -
BONLON,BE,17-03-2026,38.78,38.57,38.78,37.5,38.0,37.99,38.24,6930,2.65,51, -, -
BONLON,BE,18-03-2026,37.99,39.85,39.88,38.28,39.88,39.88,39.63,3762,1.49,44, -, -
BONLON,BE,19-03-2026,39.88,39.7,40.5,39.7,39.79,39.71,39.75,14732,5.86,59, -, -
BONLON,BE,20-03-2026,39.71,41.6,41.68,38.21,38.21,38.74,39.83,6859,2.73,60, -, -
BONLON,BE,23-03-2026,38.74,38.0,38.0,36.81,37.0,37.37,37.15,6022,2.24,126, -, -
BONLON,BE,24-03-2026,37.37,37.37,38.9,35.62,37.22,36.42,36.87,6634,2.45,61, -, -
BONLON,BE,25-03-2026,36.42,36.42,38.24,35.4,38.0,38.0,37.2,7266,2.7,60, -, -
BONLON,BE,27-03-2026,38.0,37.99,37.99,36.1,36.15,36.14,37.31,14567,5.43,74, -, -
BONLON,BE,30-03-2026,36.14,37.0,37.39,34.51,36.0,36.01,35.64,7807,2.78,58, -, -
BONLON,BE,01-04-2026,36.01,36.0,37.05,35.01,36.87,36.87,36.09,8667,3.13,66, -, -
BONLON,BE,02-04-2026,36.87,36.98,36.98,35.05,36.95,36.46,35.77,5078,1.82,92, -, -
BONLON,BE,06-04-2026,36.46,36.48,38.1,35.36,37.58,37.58,36.95,1902,0.7,44, -, -
BONLON,BE,07-04-2026,37.58,37.43,37.99,36.05,37.79,37.15,37.29,4388,1.64,62, -, -
BONLON,BE,08-04-2026,37.15,38.87,39.0,37.0,39.0,39.0,38.53,7973,3.07,67, -, -
BONLON,BE,09-04-2026,39.0,40.9,40.95,39.98,40.95,40.95,40.82,10536,4.3,64, -, -
BONLON,BE,10-04-2026,40.95,40.75,42.99,40.75,42.99,42.99,42.96,6534,2.81,33, -, -
BONLON,EQ,13-04-2026,42.99,42.99,44.97,41.1,44.95,44.29,43.28,13864,6.0,188, 12665, 91.35
BONLON,EQ,15-04-2026,44.29,45.18,46.5,44.46,46.5,46.5,45.97,13410,6.17,183, 12087, 90.13
BONLON,EQ,16-04-2026,46.5,45.11,48.82,45.11,48.82,48.82,48.78,13674,6.67,103, 12102, 88.50
BONLON,EQ,17-04-2026,48.82,50.99,50.99,47.55,49.0,49.26,49.04,18161,8.91,286, 13372, 73.63
BONLON,EQ,20-04-2026,49.26,50.99,50.99,47.15,47.22,48.25,48.45,6557,3.18,264, 4777, 72.85
BONLON,EQ,21-04-2026,48.25,49.49,50.66,48.26,50.66,50.66,50.14,19122,9.59,135, 17244, 90.18
BONLON,EQ,22-04-2026,50.66,52.89,52.89,49.73,50.6,50.98,51.7,11829,6.12,226, 8034, 67.92
BONLON,EQ,23-04-2026,50.98,51.8,51.8,49.47,49.47,49.55,50.16,3610,1.81,91, 2998, 83.05
BONLON,EQ,24-04-2026,49.55,50.97,51.88,48.0,49.99,49.72,49.79,6205,3.09,176, 5174, 83.38
BONLON,EQ,27-04-2026,49.72,50.9,50.9,48.74,49.95,49.46,49.28,7665,3.78,150, 5769, 75.26
BONLON,EQ,28-04-2026,49.46,49.7,51.0,48.5,48.5,48.62,49.31,7828,3.86,92, 5784, 73.89
BONLON,EQ,29-04-2026,48.62,50.85,51.05,48.22,51.05,50.9,50.75,29431,14.94,299, 27333, 92.87
