SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BSHSL,SM,04-10-2018,137.25,136.0,136.0,136.0,136.00,136.0,136.0,"4,000","5,44,000.00",2,-,-
BSHSL,SM,05-10-2018,136.0,135.0,135.8,135.0,135.80,135.8,135.4,"2,000","2,70,800.00",2,-,-
BSHSL,SM,05-12-2018,131.0,133.8,133.8,130.9,130.90,130.9,132.35,"2,000","2,64,700.00",2,-,-
BSHSL,SM,31-01-2019,149.0,129.95,130.4,129.95,130.4,130.4,130.18,"2,000","2,60,350.00",2,-,-
BSHSL,SM,07-02-2019,128.0,128.1,128.1,128.0,128.0,128.0,128.05,"2,000","2,56,100.00",2,-,-
BSHSL,SM,15-03-2019,125.0,127.0,127.0,126.95,126.95,126.95,126.98,"2,000","2,53,950.00",2,-,-
BSHSL,SM,18-04-2019,125.0,129.0,129.0,128.8,128.8,128.8,128.9,"2,000","2,57,800.00",2,-,-
BSHSL,SM,25-04-2019,127.0,128.8,129.0,128.8,129.0,129.0,128.9,"2,000","2,57,800.00",2,-,-
BSHSL,SM,07-05-2019,124.0,130.0,130.0,129.8,129.8,129.8,129.9,"2,000","2,59,800.00",2,-,-
BSHSL,SM,13-06-2019,130.0,128.9,128.9,128.8,128.8,128.8,128.85,"2,000","2,57,700.00",2,-,-
BSHSL,SM,01-07-2019,130.0,129.45,129.65,129.45,129.65,129.65,129.55,"2,000","2,59,100.00",2,-,-
BSHSL,SM,12-07-2019,125.0,130.0,130.0,129.85,129.85,129.85,129.93,"2,000","2,59,850.00",2,-,-
BSHSL,SM,17-07-2019,125.0,129.1,129.1,128.95,128.95,128.95,129.03,"2,000","2,58,050.00",2,-,-
BSHSL,SM,29-07-2019,124.8,124.75,124.75,124.4,124.4,124.4,124.58,"2,000","2,49,150.00",2,-,-
BSHSL,SM,03-10-2019,125.0,125.45,125.45,125.2,125.2,125.2,125.33,"2,000","2,50,650.00",2,-,-
BSHSL,SM,09-10-2019,126.5,127.0,127.4,127.0,127.4,127.4,127.2,"2,000","2,54,400.00",2,-,-
BSHSL,SM,14-01-2020,110.5,111.0,111.1,111.0,111.1,111.1,111.05,"2,400","2,66,520.00",2,-,-
BSHSL,SM,21-04-2020,109.6,109.0,109.2,109.0,109.2,109.2,109.1,"2,400","2,61,840.00",2,-,-
BSHSL,SM,11-05-2020,108.5,108.95,108.95,108.7,108.7,108.7,108.83,"2,400","2,61,180.00",2,-,-
BSHSL,SM,15-05-2020,108.05,107.85,107.95,107.85,107.95,107.95,107.9,"2,400","2,58,960.00",2,-,-
BSHSL,SM,15-07-2020,107.0,107.6,107.6,107.5,107.5,107.5,107.55,"2,400","2,58,120.00",2,-,-
BSHSL,SM,17-07-2020,110.0,110.75,110.9,110.75,110.9,110.9,110.83,"2,400","2,65,980.00",2,-,-
