SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CEINSYS,EQ,19-02-2026,"1,030.30","1,040.90","1,041.40","1,002.00","1,015.50","1,010.80","1,021.93","23,221","2,37,30,162.50","1,455","12,934",55.7
CEINSYS,EQ,20-02-2026,1010.8,1019.9,1061.7,1000.1,1003.5,1009.1,1021.37,31326,319.95,2224, 16356,52.21
CEINSYS,EQ,23-02-2026,1009.1,1043.6,1047.2,981.0,1000.0,988.5,1000.17,24684,246.88,1927, 16834,68.2
CEINSYS,EQ,24-02-2026,988.5,985.1,993.3,949.2,951.3,953.5,965.94,41822,403.98,2842, 25547,61.09
CEINSYS,EQ,25-02-2026,953.5,977.9,998.9,964.0,980.0,972.5,975.86,25508,248.92,2608, 14821,58.1
CEINSYS,EQ,26-02-2026,972.5,981.0,1010.7,973.1,989.0,987.8,989.75,26997,267.2,1716, 16229,60.11
CEINSYS,EQ,27-02-2026,987.8,1007.0,1007.0,965.3,978.0,972.1,978.73,12065,118.08,1025, 7990,66.22
CEINSYS,EQ,02-03-2026,972.1,912.0,962.15,912.0,925.25,934.55,938.13,58023,544.33,2699, 34871,60.1
CEINSYS,EQ,04-03-2026,934.55,922.4,922.4,880.0,899.5,897.95,898.42,63298,568.68,3134, 33778,53.36
CEINSYS,EQ,05-03-2026,897.95,910.1,925.15,897.05,909.3,909.25,911.09,29830,271.78,1467, 19313,64.74
CEINSYS,EQ,06-03-2026,909.25,910.0,921.95,896.4,904.0,903.75,901.18,178843,1611.69,2079, 167349,93.57
CEINSYS,EQ,09-03-2026,903.75,880.0,899.95,855.0,860.0,859.85,869.51,40407,351.34,3026, 19752,48.88
CEINSYS,EQ,10-03-2026,859.85,867.0,887.65,855.1,862.0,871.35,867.05,30995,268.74,2176, 14575,47.02
CEINSYS,EQ,11-03-2026,871.35,931.95,1045.6,911.0,969.95,972.6,1005.32,514164,5168.98,18674, 79359,15.43
CEINSYS,EQ,12-03-2026,972.6,980.0,1067.85,949.9,1005.0,1009.25,1016.1,138601,1408.33,9108, 46746,33.73
CEINSYS,EQ,13-03-2026,1009.25,1009.25,1017.85,948.75,962.0,967.65,974.88,62847,612.68,4189, 33382,53.12
CEINSYS,EQ,16-03-2026,967.65,955.0,1016.5,925.0,949.0,938.45,964.74,67533,651.52,4224, 31020,45.93
CEINSYS,EQ,17-03-2026,938.45,959.6,974.85,921.0,931.5,931.0,945.0,60496,571.69,3575, 29447,48.68
CEINSYS,EQ,18-03-2026,931.0,940.0,986.55,940.0,957.0,956.4,967.83,51770,501.04,2836, 25789,49.81
CEINSYS,EQ,19-03-2026,956.4,942.6,980.0,913.25,929.95,925.1,944.3,46095,435.28,3246, 19588,42.49
CEINSYS,EQ,20-03-2026,925.1,944.0,970.45,930.05,942.0,938.7,951.41,30268,287.97,1877, 14317,47.3
CEINSYS,EQ,23-03-2026,938.7,937.95,937.95,867.0,891.0,888.35,892.12,102701,916.21,5619, 55328,53.87
CEINSYS,EQ,24-03-2026,888.35,925.0,967.8,890.4,915.8,899.8,916.06,110716,1014.22,4219, 57650,52.07
CEINSYS,EQ,25-03-2026,899.8,910.05,1057.0,910.05,1029.95,1025.55,1011.61,619549,6267.42,20592, 216688,34.98
CEINSYS,EQ,27-03-2026,1025.55,1010.05,1050.0,970.0,985.75,981.7,1007.65,285009,2871.88,14270, 120429,42.25
CEINSYS,EQ,30-03-2026,981.7,967.5,999.6,882.4,900.0,892.25,938.41,339918,3189.84,10874, 227605,66.96
CEINSYS,EQ,01-04-2026,892.25,950.0,1003.9,950.0,990.0,982.9,984.58,142107,1399.16,8645, 31545,22.2
CEINSYS,EQ,02-04-2026,982.9,964.9,989.0,936.0,980.0,983.3,970.82,72391,702.79,4885, 29200,40.34
CEINSYS,EQ,06-04-2026,983.3,975.0,1007.3,971.25,995.0,991.55,989.97,56310,557.45,3953, 23226,41.25
CEINSYS,EQ,07-04-2026,991.55,995.0,1038.7,986.5,1019.0,1015.8,1014.15,84931,861.33,5102, 39790,46.85
CEINSYS,EQ,08-04-2026,1015.8,1068.8,1111.0,1033.2,1077.65,1074.2,1076.28,134046,1442.71,8230, 63197,47.15
CEINSYS,EQ,09-04-2026,1074.2,1098.5,1098.5,1041.3,1059.0,1054.45,1062.73,57457,610.61,4743, 27075,47.12
CEINSYS,EQ,10-04-2026,1054.45,1083.7,1111.0,1051.6,1096.9,1101.25,1089.71,116978,1274.72,6012, 44701,38.21
CEINSYS,EQ,13-04-2026,1101.25,1080.0,1163.0,1033.5,1097.0,1098.5,1121.91,125847,1411.89,7798, 46812,37.2
