SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CLEANMAX,EQ,02-03-2026,"1,053.00",960.0,960.0,768.0,858.0,867.5,837.0,"68,24,962","5,71,24,87,297.90","1,26,401","25,87,388",37.91
CLEANMAX,EQ,04-03-2026,867.5,841.0,867.7,811.3,852.9,857.5,837.06,1259475,10542.58,76081, 531718,42.22
CLEANMAX,EQ,05-03-2026,857.5,857.9,898.0,820.1,830.0,829.2,855.05,972714,8317.21,41312, 372689,38.31
CLEANMAX,EQ,06-03-2026,829.2,828.8,891.8,825.3,878.5,882.7,864.7,686594,5937.01,43497, 299295,43.59
CLEANMAX,EQ,09-03-2026,882.7,854.0,879.0,844.1,854.5,856.9,859.97,239410,2058.85,16233, 70529,29.46
CLEANMAX,EQ,10-03-2026,856.9,869.7,904.9,862.5,885.0,891.1,886.19,426339,3778.19,22345, 182024,42.69
CLEANMAX,EQ,11-03-2026,891.1,891.1,908.9,858.1,862.3,862.7,880.53,203472,1791.64,11428, 71879,35.33
CLEANMAX,EQ,12-03-2026,862.7,866.0,914.7,851.8,902.5,901.1,890.08,201497,1793.48,11976, 86728,43.04
CLEANMAX,EQ,13-03-2026,901.1,891.0,908.9,875.0,892.0,897.5,890.96,153757,1369.92,8898, 61982,40.31
CLEANMAX,EQ,16-03-2026,897.5,897.0,899.1,852.0,853.6,859.6,868.65,100876,876.26,9140, 43553,43.17
CLEANMAX,EQ,17-03-2026,859.6,870.0,907.5,858.7,895.9,890.7,886.86,255794,2268.54,21140, 100665,39.35
CLEANMAX,EQ,18-03-2026,890.7,914.9,939.6,857.2,859.0,867.4,891.68,684206,6100.95,32372, 178465,26.08
CLEANMAX,EQ,19-03-2026,867.4,854.0,882.5,842.7,848.5,847.6,853.74,151372,1292.32,12362, 52520,34.7
CLEANMAX,EQ,20-03-2026,847.6,858.7,900.0,830.0,868.1,889.9,868.26,329681,2862.48,19961, 182229,55.27
CLEANMAX,EQ,23-03-2026,889.9,876.6,877.0,801.1,839.0,834.8,831.65,216063,1796.89,12401, 112040,51.86
CLEANMAX,EQ,24-03-2026,834.8,850.0,854.2,814.0,838.0,838.1,830.55,159151,1321.83,9727, 61029,38.35
CLEANMAX,EQ,25-03-2026,838.1,840.0,848.6,816.4,816.4,835.4,838.99,283997,2382.71,19125, 137127,48.28
CLEANMAX,EQ,27-03-2026,835.4,824.0,829.7,804.0,804.0,808.6,812.08,174553,1417.5,17496, 102399,58.66
CLEANMAX,EQ,30-03-2026,808.6,785.0,786.3,727.1,766.6,769.7,752.19,951131,7154.27,72202, 539784,56.75
CLEANMAX,EQ,01-04-2026,769.7,781.0,839.0,781.0,830.0,829.45,825.48,248141,2048.35,11358, 118699,47.84
CLEANMAX,EQ,02-04-2026,829.45,801.0,817.8,793.65,810.1,810.65,808.18,142418,1150.99,12243, 82668,58.05
CLEANMAX,EQ,06-04-2026,810.65,800.0,861.9,800.0,845.0,841.4,839.83,339831,2854.02,24999, 142521,41.94
CLEANMAX,EQ,07-04-2026,841.4,850.0,861.35,835.0,843.65,844.9,852.18,173211,1476.08,9159, 94466,54.54
CLEANMAX,EQ,08-04-2026,844.9,874.0,874.0,841.8,849.0,848.45,858.49,196039,1682.97,12455, 94591,48.25
CLEANMAX,EQ,09-04-2026,848.45,855.9,865.0,850.0,860.0,858.8,858.45,89370,767.2,4689, 53992,60.41
CLEANMAX,EQ,10-04-2026,858.8,867.0,888.35,858.85,862.0,861.7,868.88,118729,1031.61,10787, 58716,49.45
CLEANMAX,EQ,13-04-2026,861.7,854.0,928.95,854.0,890.0,889.3,894.53,490431,4387.06,28601, 224564,45.79
CLEANMAX,EQ,15-04-2026,889.3,921.0,949.0,905.45,915.8,918.3,926.25,235440,2180.76,15687, 116572,49.51
CLEANMAX,EQ,16-04-2026,918.3,934.0,1014.3,929.5,969.0,969.95,985.9,1093705,10782.89,67823, 464272,42.45
CLEANMAX,EQ,17-04-2026,969.95,969.95,1004.0,965.65,999.55,998.95,994.35,496905,4940.98,35759, 306989,61.78
CLEANMAX,EQ,20-04-2026,998.95,1001.15,1030.0,981.15,1010.0,1015.45,1013.81,227366,2305.06,18001, 82942,36.48
CLEANMAX,EQ,21-04-2026,1015.45,1035.85,1043.0,993.85,1007.0,1009.25,1014.09,264227,2679.5,19744, 123959,46.91
CLEANMAX,EQ,22-04-2026,1009.25,1009.5,1067.25,1009.5,1052.0,1054.35,1048.57,450887,4727.87,27022, 289028, 64.10
