SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CMPDI,EQ,30-03-2026,172.0,160.0,168.7,152.22,153.0,154.06,160.89,"96,85,688","1,55,83,75,806.48","85,987","27,88,472",28.79
CMPDI,EQ,01-04-2026,154.06,157.81,162.85,156.15,160.01,160.1,159.44,2023192,3225.72,22881, 770258,38.07
CMPDI,EQ,02-04-2026,160.1,155.0,157.0,153.25,156.7,155.99,155.33,812346,1261.81,17794, 311940,38.4
CMPDI,EQ,06-04-2026,155.99,155.26,155.99,151.0,151.9,152.3,152.29,684788,1042.84,10817, 301281,44.0
CMPDI,EQ,07-04-2026,152.3,151.47,154.9,150.16,150.5,151.47,152.01,520265,790.86,9703, 197671,37.99
CMPDI,EQ,08-04-2026,151.47,155.8,158.9,152.4,156.25,156.33,155.52,1116696,1736.7,13908, 495556,44.38
CMPDI,EQ,09-04-2026,156.33,156.32,168.4,154.52,163.5,163.29,162.84,1842279,2999.89,22805, 695239,37.74
CMPDI,EQ,10-04-2026,163.29,164.7,168.0,162.21,166.58,165.94,165.1,1176144,1941.8,16598, 443461,37.7
CMPDI,EQ,13-04-2026,165.94,164.0,173.0,160.35,169.99,170.09,170.23,3169293,5395.03,37801, 1166464,36.81
CMPDI,EQ,15-04-2026,170.09,173.6,173.9,168.72,170.69,170.9,171.58,2821908,4841.72,23681, 1334035,47.27
CMPDI,EQ,16-04-2026,170.9,173.0,176.4,169.62,172.58,172.73,173.53,8177320,14190.48,48481, 5264260,64.38
CMPDI,EQ,17-04-2026,172.73,175.01,187.85,175.01,181.5,180.87,180.97,14616501,26451.95,84906, 7820548,53.5
CMPDI,EQ,20-04-2026,180.87,182.0,193.0,181.0,189.0,188.99,187.52,7223254,13545.13,53438, 3360388,46.52
CMPDI,EQ,21-04-2026,188.99,191.2,192.6,184.0,185.01,185.05,187.42,2872680,5384.04,27386, 1416592,49.31
CMPDI,EQ,22-04-2026,185.05,180.0,183.67,176.4,179.0,178.86,179.81,5563071,10003.02,39841, 2258201,40.59
CMPDI,EQ,23-04-2026,178.86,179.0,191.4,177.21,189.59,189.26,185.8,5596478,10398.24,44439, 3039552,54.31
CMPDI,EQ,24-04-2026,189.26,186.25,189.59,177.55,179.5,180.85,181.94,5096829,9273.36,40594, 2694295,52.86
CMPDI,EQ,27-04-2026,180.85,183.0,183.0,176.02,180.5,180.51,179.52,2309531,4146.03,20406, 948495,41.07
CMPDI,EQ,28-04-2026,180.51,181.88,191.85,181.01,190.49,190.44,188.23,4747771,8936.89,35440, 2092431,44.07
CMPDI,EQ,29-04-2026,190.44,192.09,194.0,184.01,185.3,185.36,188.92,4948652,9348.93,37231, 2137245,43.19
CMPDI,EQ,30-04-2026,185.36,183.0,186.72,179.5,181.5,181.55,182.32,2750990,5015.69,34313, 1167013,42.42
CMPDI,EQ,04-05-2026,181.55,188.45,197.0,184.65,197.0,195.74,191.35,11894114,22759.05,91220, 5672558,47.69
CMPDI,EQ,06-05-2026,197.82,199.95,201.9,192.07,200.2,200.92,197.83,5126260,10141.51,53149, 2275296,44.39
CMPDI,EQ,05-05-2026,195.74,197.7,202.45,195.11,197.87,197.82,198.58,7275844,14448.66,59579, 2898305, 39.83
