SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
COCKERILL,EQ,20-04-2026,"5,164.70","5,202.00","5,297.00","4,955.00","5,242.00","5,204.60","5,226.36","1,239","64,75,457.65",225,836,67.47
COCKERILL,EQ,21-04-2026,5204.6,5204.6,5286.75,5161.0,5213.0,5212.65,5213.23,862,44.94,244,533,61.83
COCKERILL,EQ,22-04-2026,5212.65,5224.95,5293.0,5207.0,5289.9,5277.35,5242.14,2861,149.98,556,2073,72.46
COCKERILL,EQ,23-04-2026,5277.35,5292.95,5292.95,5108.15,5230.0,5213.95,5228.28,1792,93.69,416,1013,56.53
COCKERILL,EQ,24-04-2026,5213.95,5160.0,5238.05,5015.25,5095.0,5136.7,5153.46,1213,62.51,478,894,73.7
COCKERILL,EQ,27-04-2026,5136.7,5265.0,5265.0,5100.0,5180.0,5173.45,5149.11,1202,61.89,490,663,55.16
COCKERILL,EQ,28-04-2026,5173.45,5250.85,5255.0,5149.9,5150.4,5156.5,5177.01,1836,95.05,503,1297,70.64
COCKERILL,EQ,29-04-2026,5156.5,5240.35,5265.0,5141.05,5198.5,5174.4,5201.4,1236,64.29,250,523,42.31
COCKERILL,EQ,30-04-2026,5174.4,5205.0,5205.95,5100.0,5100.55,5115.5,5140.24,1649,84.76,271,1236,74.95
COCKERILL,EQ,04-05-2026,5115.5,5116.0,5169.5,5061.5,5083.0,5086.5,5101.15,2327,118.7,423,1605,68.97
COCKERILL,EQ,06-05-2026,5193.5,5250.0,5295.0,5102.0,5112.0,5191.0,5233.59,3085,161.46,720,1722,55.82
COCKERILL,EQ,05-05-2026,5086.5,5060.0,5229.0,5060.0,5228.0,5193.5,5171.88,1557,80.53,362, 844, 54.21
