SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
COMFINTE,EQ,20-04-2026,7.3,7.6,8.0,7.0,7.4,7.45,7.52,"1,95,967","14,73,214.65",331,"1,11,631",56.96
COMFINTE,EQ,21-04-2026,7.45,7.85,8.0,7.5,7.7,7.7,7.83,616853,48.29,576, 501930,81.37
COMFINTE,EQ,22-04-2026,7.7,7.6,7.65,7.35,7.6,7.6,7.52,191466,14.4,527, 144648,75.55
COMFINTE,EQ,23-04-2026,7.6,7.45,7.65,7.45,7.55,7.6,7.55,41798,3.15,265, 35887,85.86
COMFINTE,EQ,24-04-2026,7.6,7.45,7.6,7.3,7.35,7.35,7.46,109801,8.19,420, 98265,89.49
COMFINTE,EQ,27-04-2026,7.35,7.35,7.7,7.2,7.35,7.3,7.36,100776,7.42,473, 73368,72.8
COMFINTE,EQ,28-04-2026,7.3,7.3,7.45,7.2,7.25,7.3,7.3,62506,4.56,238, 55593,88.94
COMFINTE,EQ,29-04-2026,7.3,7.25,7.45,7.1,7.2,7.2,7.25,127635,9.25,878, 93768,73.47
COMFINTE,EQ,30-04-2026,7.2,7.15,7.35,6.95,7.25,7.3,7.1,161612,11.48,1548, 116621,72.16
COMFINTE,EQ,04-05-2026,7.3,7.25,7.28,7.05,7.18,7.13,7.19,89094,6.4,749, 57915,65.0
COMFINTE,EQ,06-05-2026,7.07,7.04,7.45,7.04,7.19,7.28,7.22,135855,9.81,414, 91524,67.37
COMFINTE,EQ,05-05-2026,7.13,7.14,7.24,6.95,7.11,7.07,7.08,109974,7.79,585, 73405, 66.75
