SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DECNGOLD,EQ,20-04-2026,106.65,115.0,124.3,115.0,118.65,120.2,119.88,"23,97,728","28,74,51,284.00","24,081","9,68,966",40.41
DECNGOLD,EQ,21-04-2026,120.2,121.7,123.0,115.6,117.1,117.7,120.07,696467,836.28,6557, 322538,46.31
DECNGOLD,EQ,22-04-2026,117.7,117.35,122.0,114.8,120.5,120.7,119.08,708848,844.11,6068, 289250,40.81
DECNGOLD,EQ,23-04-2026,120.7,119.35,130.0,119.0,123.4,123.9,126.05,1299408,1637.96,9908, 550149,42.34
DECNGOLD,EQ,24-04-2026,123.9,125.7,126.9,118.5,119.6,119.1,121.42,596582,724.38,5024, 348993,58.5
DECNGOLD,EQ,27-04-2026,119.1,122.0,124.25,118.8,123.95,123.55,122.61,396044,485.6,3523, 220894,55.78
DECNGOLD,EQ,28-04-2026,123.55,123.95,125.35,120.7,122.75,122.95,122.6,383442,470.09,3420, 202292,52.76
DECNGOLD,EQ,29-04-2026,122.95,124.0,130.95,121.2,126.5,126.1,126.87,1011895,1283.81,8128, 537028,53.07
DECNGOLD,EQ,30-04-2026,126.1,123.5,126.0,123.15,124.5,123.95,124.29,544374,676.61,5185, 211433,38.84
DECNGOLD,EQ,04-05-2026,123.95,126.39,128.0,119.65,120.95,120.89,123.26,438369,540.35,4646, 239818,54.71
DECNGOLD,EQ,06-05-2026,124.22,125.11,126.05,122.91,124.55,124.73,124.25,222260,276.16,2722, 122378,55.06
DECNGOLD,EQ,05-05-2026,120.89,121.4,125.0,120.18,124.28,124.22,122.97,317562,390.5,2899, 181410, 57.13
