SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DEVIT,SM,15-02-2018,76.0,73.1,80.8,73.1,76.4,76.4,76.75,"3,15,000","2,41,75,650.00",7,-,-
DEVIT,SM,09-10-2018,68.0,72.4,72.4,69.0,69.0,70.7,70.7,"6,000","4,24,200.00",2,-,-
DEVIT,SM,16-09-2019,75.0,75.05,75.5,75.05,75.5,75.5,75.28,"3,000","2,25,825.00",2,-,-
DEVIT,SM,25-10-2019,75.0,75.05,75.25,75.05,75.25,75.25,75.15,"3,000","2,25,450.00",2,-,-
DEVIT,SM,16-12-2019,71.0,70.0,72.0,70.0,72.0,72.0,71.0,"3,000","2,13,000.00",2,-,-
DEVIT,SM,23-12-2019,72.0,71.0,72.0,71.0,72.0,72.0,71.5,"3,000","2,14,500.00",2,-,-
DEVIT,SM,03-01-2020,70.0,70.0,72.0,70.0,72.0,72.0,71.0,"3,000","2,13,000.00",2,-,-
DEVIT,SM,20-01-2020,67.0,74.0,74.0,73.5,73.5,73.5,73.75,"3,000","2,21,250.00",2,-,-
DEVIT,SM,23-01-2020,74.0,74.25,74.25,74.0,74.0,74.0,74.13,"3,000","2,22,375.00",2,-,-
DEVIT,SM,24-01-2020,74.0,73.0,73.25,73.0,73.25,73.25,73.13,"3,000","2,19,375.00",2,-,-
DEVIT,SM,27-01-2020,73.25,73.0,73.25,72.0,72.05,72.05,72.58,"6,000","4,35,450.00",4,-,-
DEVIT,SM,31-01-2020,75.25,75.5,75.55,75.5,75.55,75.55,75.53,"3,000","2,26,575.00",2,-,-
DEVIT,SM,03-02-2020,76.1,72.0,75.05,72.0,75.05,75.0,73.58,"6,000","4,41,450.00",4,-,-
DEVIT,SM,04-02-2020,75.0,75.0,75.05,75.0,75.05,75.05,75.03,"3,000","2,25,075.00",2,-,-
DEVIT,SM,05-02-2020,75.05,75.5,75.65,75.5,75.65,75.65,75.58,"3,000","2,26,725.00",2,-,-
DEVIT,SM,06-02-2020,75.65,73.0,76.05,73.0,76.05,76.05,74.58,"6,000","4,47,450.00",4,-,-
DEVIT,SM,10-02-2020,79.5,81.0,81.05,75.4,75.5,75.5,78.24,"6,000","4,69,425.00",4,-,-
DEVIT,SM,27-02-2020,94.0,97.5,97.55,97.5,97.55,97.55,97.53,"3,000","2,92,575.00",2,-,-
DEVIT,SM,03-03-2020,91.0,95.0,95.05,95.0,95.05,95.05,95.03,"3,000","2,85,075.00",2,-,-
DEVIT,SM,25-06-2020,72.0,75.0,75.1,75.0,75.1,75.1,75.05,"4,500","3,37,725.00",3,-,-
DEVIT,SM,25-02-2021,127.5,110.15,128.5,110.15,125.65,125.65,121.43,"4,500","5,46,450.00",3,-,-
DEVIT,SM,16-03-2021,127.0,111.75,126.9,111.75,126.9,126.9,119.33,"3,000","3,57,975.00",2,-,-
DEVIT,SM,19-03-2021,126.5,112.25,123.9,112.25,123.9,123.9,118.08,"3,000","3,54,225.00",2,-,-
DEVIT,SM,14-07-2021,108.0,95.05,110.0,95.05,110.0,110.0,105.02,"4,500","4,72,575.00",3,-,-
DEVIT,EQ,13-08-2025,109.26,110.99,114.89,109.93,111.0,111.32,110.69,108306,119.88,1610, 91269, 84.27
DEVIT,EQ,14-08-2025,111.32,112.15,112.24,109.85,110.85,110.2,110.71,31510,34.88,1168, 19870, 63.06
DEVIT,EQ,12-08-2025,109.63,109.65,111.92,109.03,110.49,109.26,110.32,40285,44.44,1855, 21938, 54.46
