SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DSFCL,BE,17-02-2026,60.58,50.0,52.5,47.5,47.5,47.5,49.99,"79,374","39,67,941.36",478,-,-
DSFCL,BE,18-02-2026,47.5,45.13,45.13,45.13,45.13,45.13,45.13,5291,2.39,136, -, -
DSFCL,BE,19-02-2026,45.13,42.88,42.88,42.88,42.88,42.88,42.88,5869,2.52,138, -, -
DSFCL,BE,20-02-2026,42.88,40.74,45.02,40.74,42.0,41.22,41.62,202710,84.36,793, -, -
DSFCL,BE,23-02-2026,41.22,39.16,39.16,39.16,39.16,39.16,39.16,52381,20.51,260, -, -
DSFCL,BE,24-02-2026,39.16,37.25,38.0,37.21,37.21,37.21,37.22,42344,15.76,393, -, -
DSFCL,BE,25-02-2026,37.21,35.35,36.99,35.35,35.35,35.35,35.49,109675,38.92,432, -, -
DSFCL,BE,26-02-2026,35.35,33.59,33.59,33.59,33.59,33.59,33.59,23123,7.77,160, -, -
DSFCL,BE,27-02-2026,33.59,31.92,31.92,31.92,31.92,31.92,31.92,97221,31.03,471, -, -
DSFCL,BE,02-03-2026,31.92,30.33,33.51,30.33,33.5,33.19,32.01,198907,63.67,618, -, -
DSFCL,EQ,04-03-2026,33.19,33.98,33.98,28.61,29.75,29.5,29.76,178323,53.07,2242, 109813, 61.58
DSFCL,EQ,05-03-2026,29.5,30.5,33.0,28.6,30.26,30.05,30.42,91116,27.72,748, 46146, 50.65
DSFCL,EQ,06-03-2026,30.05,31.0,31.0,27.75,29.0,29.05,28.98,132374,38.36,955, 100894, 76.22
DSFCL,EQ,09-03-2026,29.05,25.55,27.9,25.55,26.64,26.3,26.19,116438,30.5,1066, 53640, 46.07
DSFCL,EQ,10-03-2026,26.3,26.3,27.9,26.16,27.54,26.43,26.99,100233,27.06,772, 70031, 69.87
DSFCL,EQ,11-03-2026,26.43,25.25,27.46,25.25,26.05,25.92,26.54,48832,12.96,597, 30379, 62.21
DSFCL,EQ,12-03-2026,25.92,25.92,26.08,24.7,25.09,25.12,25.34,95691,24.25,759, 79342, 82.91
DSFCL,EQ,13-03-2026,25.12,25.7,26.78,22.3,22.4,23.83,24.48,71381,17.48,717, 57204, 80.14
DSFCL,EQ,16-03-2026,23.83,23.83,23.83,21.34,21.6,22.29,22.56,72032,16.25,726, 59860, 83.10
DSFCL,EQ,17-03-2026,22.29,22.29,24.98,22.29,22.7,22.91,23.0,317480,73.03,1538, 259127, 81.62
DSFCL,EQ,18-03-2026,22.91,23.49,24.8,23.1,23.1,23.35,23.71,195290,46.3,907, 148662, 76.12
DSFCL,EQ,19-03-2026,23.35,23.0,24.02,22.4,22.6,22.52,23.15,94961,21.99,716, 64972, 68.42
DSFCL,EQ,20-03-2026,22.52,22.01,23.43,21.82,22.0,21.96,22.21,131658,29.24,530, 102058, 77.52
DSFCL,EQ,23-03-2026,21.96,23.48,23.48,20.85,21.0,21.0,21.44,170033,36.45,754, 137890, 81.10
DSFCL,EQ,24-03-2026,21.0,21.8,22.0,20.01,20.45,20.23,20.42,138880,28.35,1162, 105043, 75.64
DSFCL,EQ,25-03-2026,20.23,20.05,21.21,19.1,19.65,20.02,20.64,136378,28.14,1155, 115205, 84.47
DSFCL,EQ,27-03-2026,20.02,20.49,20.5,19.1,19.13,19.19,19.68,144675,28.47,838, 118113, 81.64
DSFCL,EQ,30-03-2026,19.19,20.0,21.1,17.28,17.31,17.36,18.99,304014,57.72,1776, 227370, 74.79
DSFCL,EQ,01-04-2026,17.36,19.0,19.09,18.2,19.0,18.92,18.92,122851,23.24,3139, 103877, 84.56
DSFCL,EQ,02-04-2026,18.92,18.86,19.87,17.65,18.58,18.57,19.03,125266,23.84,1393, 87760, 70.06
DSFCL,EQ,06-04-2026,18.57,18.61,20.42,18.61,20.42,20.4,20.37,489605,99.72,3726, 449807, 91.87
DSFCL,EQ,07-04-2026,20.4,20.98,22.3,20.39,21.75,21.73,21.67,179204,38.84,956, 135937, 75.86
DSFCL,EQ,08-04-2026,21.73,23.9,23.9,22.56,23.22,23.39,23.57,231035,54.45,567, 198569, 85.95
DSFCL,EQ,09-04-2026,23.39,23.02,23.57,22.23,22.43,22.32,22.49,86600,19.47,591, 55366, 63.93
DSFCL,EQ,10-04-2026,22.32,21.55,23.4,21.55,22.99,22.97,22.89,167444,38.32,794, 136022, 81.23
DSFCL,EQ,13-04-2026,22.97,22.39,22.59,21.85,22.29,22.25,22.28,34331,7.65,475, 21353, 62.20
DSFCL,EQ,15-04-2026,22.25,22.24,23.36,21.92,23.36,23.36,22.86,154216,35.26,378, 134729, 87.36
