SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
E2ERAIL,ST,02-01-2026,174.0,330.6,347.1,314.2,328.0,327.8,338.49,"29,38,400","99,46,19,920.00","2,111","29,36,800",99.95
E2ERAIL,ST,05-01-2026,327.8,311.45,311.45,311.45,311.45,311.45,311.45,28800,89.7,27, 28800,100.0
E2ERAIL,ST,06-01-2026,311.45,295.9,295.9,295.9,295.9,295.9,295.9,11200,33.14,6, 11200,100.0
E2ERAIL,ST,07-01-2026,295.9,281.15,281.15,281.15,281.15,281.15,281.15,7200,20.24,5, 7200,100.0
E2ERAIL,ST,08-01-2026,281.15,267.1,295.2,267.1,295.2,295.15,278.88,666400,1858.47,311, 593600,89.08
E2ERAIL,ST,09-01-2026,295.15,309.9,309.9,297.75,301.0,303.85,308.35,154400,476.09,164, 142400,92.23
E2ERAIL,ST,12-01-2026,303.85,300.0,300.0,288.7,288.7,288.7,289.4,146400,423.68,97, 135200,92.35
E2ERAIL,ST,13-01-2026,288.7,290.0,302.0,277.0,295.0,295.0,292.79,71200,208.46,45, 65600,92.13
E2ERAIL,ST,14-01-2026,295.0,300.0,300.0,280.25,280.25,280.25,283.79,76800,217.95,81, 65600,85.42
E2ERAIL,ST,16-01-2026,280.25,283.0,294.25,276.0,294.25,294.1,289.71,89600,259.58,84, 79200,88.39
E2ERAIL,SM,19-01-2026,294.1,295.0,295.0,273.05,285.0,286.95,286.35,77600,222.21,86, 44800,57.73
E2ERAIL,SM,20-01-2026,286.95,276.0,279.95,254.0,256.5,256.55,264.14,102400,270.48,115, 63200,61.72
E2ERAIL,SM,21-01-2026,256.55,260.3,265.0,242.5,242.5,244.95,250.96,68000,170.66,74, 50400,74.12
E2ERAIL,SM,22-01-2026,244.95,254.0,256.0,243.05,245.0,244.0,248.11,16800,41.68,21, 12800,76.19
E2ERAIL,SM,23-01-2026,244.0,242.3,245.0,224.3,228.0,225.65,232.45,73600,171.08,78, 59200,80.43
E2ERAIL,SM,27-01-2026,225.65,253.0,253.0,215.0,219.8,218.0,221.29,71200,157.56,84, 48800,68.54
E2ERAIL,SM,28-01-2026,218.0,218.0,226.0,218.0,223.0,223.95,223.11,28800,64.26,33, 23200,80.56
E2ERAIL,SM,29-01-2026,223.95,220.0,224.9,217.0,217.0,217.8,219.11,59200,129.71,68, 39200,66.22
E2ERAIL,SM,30-01-2026,217.8,215.0,216.15,202.35,205.0,204.55,209.77,56000,117.47,60, 40000,71.43
E2ERAIL,SM,01-02-2026,204.55,204.45,222.95,199.0,207.5,209.25,208.64,152800,318.81,126, 107200,70.16
E2ERAIL,SM,02-02-2026,209.25,209.25,213.9,205.05,213.8,212.35,208.95,42400,88.59,40, 32800,77.36
E2ERAIL,SM,03-02-2026,212.35,222.0,244.0,222.0,225.5,227.0,229.19,86400,198.02,93, 55200,63.89
E2ERAIL,SM,04-02-2026,227.0,226.95,227.0,218.0,220.0,220.15,221.5,48000,106.32,48, 34400,71.67
E2ERAIL,SM,05-02-2026,220.15,212.5,218.95,210.0,210.5,210.4,212.82,36000,76.62,43, 20800,57.78
E2ERAIL,SM,06-02-2026,210.4,210.0,211.15,203.1,205.0,203.8,207.47,30400,63.07,30, 28000,92.11
E2ERAIL,SM,09-02-2026,203.8,214.95,214.95,205.0,205.55,207.4,207.39,59200,122.77,62, 42400,71.62
E2ERAIL,SM,10-02-2026,207.4,205.0,213.5,201.2,213.5,213.4,209.67,30400,63.74,25, 26400,86.84
E2ERAIL,SM,11-02-2026,213.4,214.0,224.95,205.6,219.0,217.75,215.44,41600,89.62,44, 31200,75.0
E2ERAIL,SM,12-02-2026,217.75,215.0,248.0,215.0,235.0,235.9,225.12,131200,295.35,73, 116000,88.41
E2ERAIL,SM,13-02-2026,235.9,229.0,230.0,222.25,229.9,226.1,226.89,98400,223.26,34, 89600,91.06
E2ERAIL,SM,16-02-2026,226.1,229.0,230.0,225.1,230.0,228.8,227.8,25600,58.32,26, 20000,78.13
E2ERAIL,SM,17-02-2026,228.8,226.05,226.05,221.75,221.75,221.75,224.81,11200,25.18,12, 10400,92.86
E2ERAIL,SM,18-02-2026,221.75,222.0,225.0,222.0,223.0,223.1,223.78,6400,14.32,8, 5600,87.5
