SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ELANTAS,EQ,20-04-2026,"9,217.60","9,218.00","9,290.00","9,005.00","9,288.00","9,255.00","9,136.81",395,"36,09,039.30",145,307,77.72
ELANTAS,EQ,21-04-2026,9255.0,9285.0,9285.0,9135.0,9154.85,9202.95,9224.94,447,41.24,93,365,81.66
ELANTAS,EQ,22-04-2026,9202.95,9279.95,9288.0,9150.2,9249.5,9222.6,9233.3,855,78.94,164,623,72.87
ELANTAS,EQ,23-04-2026,9222.6,9223.0,9223.0,9100.0,9120.0,9110.2,9159.1,455,41.67,143,338,74.29
ELANTAS,EQ,24-04-2026,9110.2,9155.8,9155.8,8985.0,9000.0,9035.65,9043.76,537,48.56,128,416,77.47
ELANTAS,EQ,27-04-2026,9035.65,9149.95,9174.95,8990.0,9001.0,9047.55,9070.53,992,89.98,181,790,79.64
ELANTAS,EQ,28-04-2026,9047.55,9083.8,9879.95,9079.9,9879.9,9512.45,9394.38,1379,129.55,337,984,71.36
ELANTAS,EQ,29-04-2026,9512.45,9649.0,10103.0,9600.0,9887.55,10022.3,9933.41,1352,134.3,602,867,64.13
ELANTAS,EQ,30-04-2026,10022.3,10023.0,10030.2,9430.0,9540.5,9611.3,9710.46,757,73.51,342,469,61.96
ELANTAS,EQ,04-05-2026,9611.3,9620.0,10002.0,9411.0,9587.0,9606.0,9652.87,582,56.18,207, 316, 54.30
