SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ELITECON,EQ,20-04-2026,43.5,41.5,45.65,41.5,45.65,45.6,45.23,"15,40,016","6,96,52,637.00","5,617","11,54,168",74.95
ELITECON,EQ,21-04-2026,45.6,46.35,46.4,43.35,43.35,43.35,43.88,1667132,731.5,4677, 1172873,70.35
ELITECON,EQ,22-04-2026,43.35,41.2,41.95,41.2,41.2,41.2,41.23,386196,159.21,2447, 327975,84.92
ELITECON,EQ,23-04-2026,41.2,39.6,43.25,39.25,41.35,40.95,41.92,1678644,703.74,6747, 801503,47.75
ELITECON,EQ,24-04-2026,40.95,41.85,41.9,38.95,39.15,39.2,39.89,803426,320.49,4064, 451369,56.18
ELITECON,EQ,27-04-2026,39.2,40.0,40.45,37.25,37.25,37.65,38.21,2088941,798.19,5220, 1260865,60.36
ELITECON,EQ,28-04-2026,37.65,37.05,39.05,37.05,37.9,38.05,38.22,669029,255.73,3527, 368356,55.06
ELITECON,EQ,29-04-2026,38.05,38.15,39.2,36.95,37.5,37.4,37.89,1258056,476.67,7020, 713064,56.68
ELITECON,EQ,30-04-2026,37.4,38.25,38.25,36.2,37.1,36.9,37.08,799924,296.65,4175, 454285,56.79
ELITECON,EQ,04-05-2026,36.9,37.79,37.79,36.25,37.1,37.03,36.92,675591,249.41,4662, 334458, 49.51
