SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FRACTAL,EQ,16-02-2026,900.0,876.0,897.3,831.3,837.7,847.15,866.97,"68,18,588","5,91,15,08,686.20","1,85,867","39,09,649",57.34
FRACTAL,EQ,17-02-2026,847.15,830.0,921.0,830.0,883.45,888.25,892.89,5830776,52062.56,122935, 1484488,25.46
FRACTAL,EQ,18-02-2026,888.25,894.0,915.0,862.65,863.5,869.95,896.39,1707290,15304.03,48869, 426318,24.97
FRACTAL,EQ,19-02-2026,869.95,870.7,904.4,870.0,875.9,877.9,887.58,1200158,10652.32,34416, 271013,22.58
FRACTAL,EQ,20-02-2026,877.9,877.0,883.7,851.25,859.1,858.95,863.49,674793,5826.79,22885, 225153,33.37
FRACTAL,EQ,23-02-2026,858.95,873.0,873.95,833.25,838.0,840.0,844.85,734726,6207.32,24768, 230393,31.36
FRACTAL,EQ,24-02-2026,840.0,836.95,852.0,824.5,827.0,831.85,836.73,829553,6941.08,25026, 314580,37.92
FRACTAL,EQ,25-02-2026,831.85,833.0,844.45,802.35,805.0,808.65,814.67,815905,6646.94,44084, 305916,37.49
FRACTAL,EQ,26-02-2026,808.65,815.0,825.95,804.0,810.0,811.7,811.83,346336,2811.66,12810, 133753,38.62
FRACTAL,EQ,27-02-2026,811.7,813.0,820.0,767.0,771.0,778.5,788.55,640456,5050.33,27559, 292680,45.7
FRACTAL,EQ,02-03-2026,778.5,733.7,774.65,733.7,757.3,751.5,755.7,725782,5484.77,23133, 358503,49.4
FRACTAL,EQ,04-03-2026,751.5,735.0,792.0,734.1,789.0,786.3,766.81,910252,6979.94,33293, 279373,30.69
FRACTAL,EQ,05-03-2026,786.3,796.2,798.0,746.15,758.0,759.15,769.38,426794,3283.65,22706, 144318,33.81
FRACTAL,EQ,06-03-2026,759.15,780.0,826.0,771.05,795.0,798.4,803.66,3121482,25086.11,115584, 556127,17.82
FRACTAL,EQ,09-03-2026,798.4,783.0,792.0,766.05,779.0,776.3,781.31,705553,5512.55,30098, 314824,44.62
FRACTAL,EQ,10-03-2026,776.3,790.0,852.0,789.55,844.1,843.2,821.06,1126178,9246.56,31096, 560727,49.79
FRACTAL,EQ,11-03-2026,843.2,843.2,862.4,833.3,840.0,842.65,848.78,679391,5766.51,28690, 299902,44.14
FRACTAL,EQ,12-03-2026,842.65,834.95,860.0,833.75,844.5,847.1,849.23,658941,5595.94,32151, 256633,38.95
FRACTAL,EQ,13-03-2026,847.1,850.0,850.0,792.45,794.1,796.05,813.25,468624,3811.08,18222, 245231,52.33
FRACTAL,EQ,16-03-2026,796.05,757.55,787.7,754.0,763.3,764.8,767.0,343711,2636.27,19148, 143466,41.74
FRACTAL,EQ,17-03-2026,764.8,771.0,799.9,765.2,793.0,796.3,788.34,380121,2996.65,22400, 139196,36.62
FRACTAL,EQ,18-03-2026,796.3,799.05,824.8,799.0,802.0,806.15,816.23,374371,3055.72,12448, 187819,50.17
FRACTAL,EQ,19-03-2026,806.15,799.0,805.0,790.05,805.0,794.75,797.98,127126,1014.44,9279, 59727,46.98
FRACTAL,EQ,20-03-2026,794.75,804.8,829.8,803.05,820.5,823.1,819.65,331703,2718.81,13411, 164691,49.65
