SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FRONTSP,EQ,20-04-2026,"1,542.90","1,542.85","1,549.85","1,460.00","1,529.00","1,513.35","1,494.34","9,427","1,40,87,148.15",742,"6,184",65.6
FRONTSP,EQ,21-04-2026,1513.35,1486.8,1537.95,1486.8,1491.15,1493.95,1502.71,4751,71.39,554, 2919,61.44
FRONTSP,EQ,22-04-2026,1493.95,1486.8,1527.45,1452.65,1491.8,1487.35,1471.11,18921,278.35,1647, 10323,54.56
FRONTSP,EQ,23-04-2026,1487.35,1465.05,1509.8,1461.6,1480.6,1475.85,1483.47,10634,157.75,1238, 5857,55.08
FRONTSP,EQ,24-04-2026,1475.85,1494.95,1494.95,1443.3,1494.0,1466.25,1461.24,9434,137.85,969, 5902,62.56
FRONTSP,EQ,27-04-2026,1466.25,1481.95,1492.0,1465.0,1470.0,1468.7,1476.1,7152,105.57,849, 4249,59.41
FRONTSP,EQ,28-04-2026,1468.7,1476.0,1487.0,1450.5,1452.1,1457.4,1462.64,3669,53.66,708, 2403,65.49
FRONTSP,EQ,29-04-2026,1457.4,1474.65,1474.65,1424.95,1467.9,1446.1,1449.62,13020,188.74,1422, 8868,68.11
FRONTSP,EQ,30-04-2026,1446.1,1463.0,1463.0,1415.0,1435.0,1424.45,1429.81,4821,68.93,868, 2756,57.17
FRONTSP,EQ,04-05-2026,1424.45,1457.8,1467.7,1400.0,1412.9,1413.2,1429.92,9087,129.94,1545, 5460,60.09
FRONTSP,EQ,06-05-2026,1527.8,1550.2,1727.8,1550.2,1640.0,1658.2,1650.79,77068,1272.23,8103, 36598,47.49
FRONTSP,EQ,05-05-2026,1413.2,1415.0,1559.8,1402.6,1536.8,1527.8,1500.51,24573,368.72,2637, 12124, 49.34
