SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GRANDOAK,EQ,20-04-2026,31.65,34.75,34.8,28.6,28.9,28.9,30.18,"3,796","1,14,567.45",29,"3,416",89.99
GRANDOAK,EQ,21-04-2026,28.9,29.0,31.75,28.9,30.25,29.75,30.37,2768,0.84,42, 2714,98.05
GRANDOAK,EQ,22-04-2026,29.75,30.25,30.7,28.05,28.3,28.2,28.96,1156,0.33,19, 1102,95.33
GRANDOAK,EQ,23-04-2026,28.2,28.3,31.0,28.3,30.8,30.8,30.33,538,0.16,21, 415,77.14
GRANDOAK,EQ,24-04-2026,30.8,30.0,30.8,27.8,30.0,30.0,30.21,1258,0.38,35, 1187,94.36
GRANDOAK,EQ,27-04-2026,30.0,32.5,32.5,27.6,30.0,30.0,31.12,408,0.13,32, 400,98.04
GRANDOAK,EQ,28-04-2026,30.0,32.45,32.45,27.3,27.6,28.35,28.66,4440,1.27,56, 4237,95.43
GRANDOAK,EQ,29-04-2026,28.35,31.0,31.0,28.35,30.75,30.75,29.86,1310,0.39,48, 1054,80.46
GRANDOAK,EQ,30-04-2026,30.75,31.5,31.5,30.5,30.5,30.5,30.76,81,0.02,6, 80,98.77
GRANDOAK,EQ,04-05-2026,30.5,31.5,33.54,27.45,32.77,32.31,31.39,1406,0.44,55, 1173, 83.43
