SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GROWWHOSPI,EQ,05-03-2026,48.88,51.99,52.9,47.3,49.0,48.2,48.0,"27,13,406","13,02,48,196.69","1,036","25,93,794",95.59
GROWWHOSPI,EQ,06-03-2026,48.2,47.24,50.0,47.13,50.0,48.47,48.26,125001,60.32,1219, 103407,82.72
GROWWHOSPI,EQ,09-03-2026,48.47,48.57,49.0,46.5,48.98,47.72,47.56,222232,105.69,2025, 158473,71.31
GROWWHOSPI,EQ,10-03-2026,47.72,48.7,48.97,47.78,47.9,47.95,48.03,92886,44.61,802, 81875,88.15
GROWWHOSPI,EQ,11-03-2026,47.95,48.87,49.16,47.68,48.4,47.78,47.85,116378,55.69,961, 100030,85.95
GROWWHOSPI,EQ,12-03-2026,47.78,48.75,48.87,46.8,47.08,46.97,47.03,120829,56.82,1093, 109594,90.7
GROWWHOSPI,EQ,13-03-2026,46.97,46.5,47.97,45.7,46.05,45.96,46.21,167814,77.55,1336, 125125,74.56
GROWWHOSPI,EQ,16-03-2026,45.96,45.99,47.39,44.92,45.75,45.22,45.52,177367,80.75,1257, 125339,70.67
GROWWHOSPI,EQ,17-03-2026,45.22,45.44,45.85,45.0,45.7,45.64,45.55,69204,31.52,506, 53462,77.25
GROWWHOSPI,EQ,18-03-2026,45.64,45.65,47.5,45.65,46.05,46.18,46.28,78391,36.28,526, 70878,90.42
GROWWHOSPI,EQ,19-03-2026,46.18,47.1,47.1,44.73,45.99,45.08,45.06,164769,74.24,1356, 136787,83.02
GROWWHOSPI,EQ,20-03-2026,45.08,44.8,47.0,44.68,47.0,44.88,45.0,88998,40.05,575, 43210,48.55
GROWWHOSPI,EQ,23-03-2026,44.88,45.1,47.0,43.35,47.0,44.2,43.89,159127,69.84,1126, 141018,88.62
GROWWHOSPI,EQ,24-03-2026,44.2,44.01,45.18,44.01,45.13,44.69,44.78,92850,41.58,696, 53102, 57.19
