SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GROWWPSUBK,EQ,27-03-2026,83.66,81.99,84.9,81.99,82.05,82.92,83.04,"8,018","6,65,832.90",316,"3,800",47.39
GROWWPSUBK,EQ,30-03-2026,82.92,82.85,84.9,78.85,83.9,83.8,79.99,16857,13.48,422, 12649,75.04
GROWWPSUBK,EQ,01-04-2026,83.8,81.7,85.5,80.51,82.5,81.89,81.65,10359,8.46,326, 6552,63.25
GROWWPSUBK,EQ,02-04-2026,81.89,80.7,81.93,78.06,80.39,81.09,79.48,18140,14.42,236, 8226,45.35
GROWWPSUBK,EQ,06-04-2026,81.09,80.16,83.52,80.15,82.39,83.02,82.17,11221,9.22,225, 3168,28.23
GROWWPSUBK,EQ,07-04-2026,83.02,80.7,82.67,80.69,82.25,82.31,82.03,4006,3.29,144, 3014,75.24
GROWWPSUBK,EQ,08-04-2026,82.31,83.02,89.43,83.01,89.43,87.35,86.48,32590,28.18,329, 17846,54.76
GROWWPSUBK,EQ,09-04-2026,87.35,88.18,88.18,85.63,85.75,85.75,86.5,23720,20.52,142, 6837,28.82
GROWWPSUBK,EQ,10-04-2026,85.75,87.38,88.07,85.82,88.07,87.66,87.57,27591,24.16,136, 4872,17.66
GROWWPSUBK,EQ,13-04-2026,87.66,87.61,87.61,83.99,84.53,86.52,85.87,9137,7.85,197, 3377,36.96
GROWWPSUBK,EQ,15-04-2026,86.52,88.34,89.99,87.43,88.09,88.22,88.16,12484,11.01,282, 6451,51.67
GROWWPSUBK,EQ,16-04-2026,88.22,89.47,90.7,86.93,88.0,87.95,88.04,73932,65.09,429, 12082,16.34
GROWWPSUBK,EQ,17-04-2026,87.95,88.77,88.95,86.55,88.5,88.54,88.0,12971,11.41,201, 6473,49.9
GROWWPSUBK,EQ,20-04-2026,88.54,88.55,90.64,87.5,88.79,89.59,89.93,32578,29.3,270, 24513,75.24
GROWWPSUBK,EQ,21-04-2026,89.59,89.86,90.6,87.8,90.6,90.34,90.04,7602,6.84,143, 5143,67.65
GROWWPSUBK,EQ,22-04-2026,90.34,89.34,91.19,88.56,90.8,90.38,89.84,24430,21.95,221, 19522,79.91
GROWWPSUBK,EQ,23-04-2026,90.38,90.95,90.95,88.0,88.49,88.36,89.18,10832,9.66,164, 9635,88.95
GROWWPSUBK,EQ,24-04-2026,88.36,88.14,89.0,86.86,87.0,87.33,87.6,6326,5.54,148, 4949,78.23
GROWWPSUBK,EQ,27-04-2026,87.33,87.41,89.97,85.8,87.89,87.96,88.3,10959,9.68,228, 5326,48.6
GROWWPSUBK,EQ,28-04-2026,87.96,87.58,88.73,86.77,88.73,86.9,87.23,5051,4.41,141, 4672,92.5
GROWWPSUBK,EQ,29-04-2026,86.9,86.96,88.1,86.1,88.1,86.97,87.2,3253,2.84,138, 2258,69.41
GROWWPSUBK,EQ,30-04-2026,86.97,85.45,85.48,84.4,85.1,85.07,84.89,9618,8.16,169, 8612,89.54
GROWWPSUBK,EQ,04-05-2026,85.07,86.78,86.78,84.15,84.7,84.67,85.11,8285,7.05,163, 6167,74.44
GROWWPSUBK,EQ,06-05-2026,84.29,85.68,87.03,84.38,86.5,86.58,85.72,8949,7.67,91, 7837,87.57
GROWWPSUBK,EQ,05-05-2026,84.67,83.5,84.88,83.25,84.64,84.29,84.28,4592,3.87,117, 3088, 67.25
