SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GSPCROP,EQ,24-03-2026,320.0,328.0,364.0,328.0,354.5,356.25,333.9,"85,98,096","2,87,09,31,571.70","67,113","51,73,393",60.17
GSPCROP,EQ,25-03-2026,356.25,355.0,375.0,345.65,350.3,352.95,365.04,1458067,5322.6,28386, 180291,12.37
GSPCROP,EQ,27-03-2026,352.95,350.3,363.0,342.2,360.0,356.55,348.17,486910,1695.29,6752, 180922,37.16
GSPCROP,EQ,30-03-2026,356.55,350.9,354.5,335.1,337.0,337.9,344.96,117649,405.84,3165, 43031,36.58
GSPCROP,EQ,01-04-2026,337.9,345.05,399.8,345.05,385.1,390.9,380.38,900323,3424.63,15925, 323048,35.88
GSPCROP,EQ,02-04-2026,390.9,380.25,385.0,366.0,367.8,367.7,375.19,415915,1560.48,8355, 136725,32.87
GSPCROP,EQ,06-04-2026,367.7,367.65,397.95,367.05,385.75,385.85,384.0,430790,1654.25,5661, 215807,50.1
GSPCROP,EQ,07-04-2026,385.85,389.3,398.4,383.55,390.0,390.7,389.58,438974,1710.14,4158, 322979,73.58
GSPCROP,EQ,08-04-2026,390.7,399.0,399.0,376.85,388.95,386.15,389.01,451063,1754.67,4864, 313158,69.43
GSPCROP,EQ,09-04-2026,386.15,388.5,406.9,385.1,389.75,387.05,393.33,548372,2156.92,6958, 317436, 57.89
