SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HALDYNGL,EQ,20-04-2026,91.75,91.8,93.65,88.0,88.0,89.05,90.44,"5,126","4,63,577.70",68,"4,967",96.9
HALDYNGL,EQ,21-04-2026,89.05,88.65,89.95,86.5,87.6,88.3,88.48,8876,7.85,125, 7980,89.91
HALDYNGL,EQ,22-04-2026,88.3,88.3,89.95,85.0,86.4,86.25,87.45,23632,20.67,507, 15396,65.15
HALDYNGL,EQ,23-04-2026,86.25,87.9,103.5,87.5,97.4,96.35,100.12,432341,432.85,2817, 306226,70.83
HALDYNGL,EQ,24-04-2026,96.35,96.05,99.5,92.85,95.0,95.15,95.95,150079,144.0,1858, 84100,56.04
HALDYNGL,EQ,27-04-2026,95.15,96.95,99.0,94.2,99.0,98.5,97.53,66342,64.7,931, 40730,61.39
HALDYNGL,EQ,28-04-2026,98.5,98.45,110.05,98.4,108.9,108.3,105.0,351598,369.19,3241, 230559,65.57
HALDYNGL,EQ,29-04-2026,108.3,109.9,112.0,106.2,110.1,110.2,109.03,115632,126.08,1525, 65041,56.25
HALDYNGL,EQ,30-04-2026,110.2,108.55,110.45,107.1,107.65,107.85,108.36,84220,91.26,824, 62129,73.77
HALDYNGL,EQ,04-05-2026,107.85,110.0,110.0,107.03,107.8,107.84,108.02,33663,36.36,521, 20972,62.3
HALDYNGL,EQ,06-05-2026,107.36,107.97,113.42,107.0,109.0,109.51,110.49,73918,81.67,1011, 43460,58.79
HALDYNGL,EQ,05-05-2026,107.84,107.8,107.92,105.87,107.3,107.36,107.14,18742,20.08,167, 13274, 70.82
