SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HAWKINCOOK,EQ,30-12-1997,42.00,41.75,41.8,41.75,-,41.8,41.78,150,"6,267.50",-,-,-
HAWKINCOOK,EQ,29-12-1997,40.25,42.0,42.25,42.0,-,42.0,42.07,350,"14,725.00",-,-,-
HAWKINCOOK,EQ,24-12-1997,41.50,41.5,41.5,40.25,-,40.25,40.89,200,"8,177.50",-,-,-
HAWKINCOOK,EQ,23-12-1997,41.00,41.5,41.5,41.5,-,41.5,41.5,300,"12,450.00",-,-,-
HAWKINCOOK,EQ,22-12-1997,42.50,41.0,41.0,41.0,-,41.0,41.0,200,"8,200.00",-,-,-
HAWKINCOOK,EQ,18-12-1997,42.00,42.5,42.5,42.5,-,42.5,42.5,50,"2,125.00",-,-,-
HAWKINCOOK,EQ,17-12-1997,43.00,42.0,42.0,42.0,-,42.0,42.0,100,"4,200.00",-,-,-
HAWKINCOOK,EQ,16-12-1997,43.55,43.0,43.0,43.0,-,43.0,43.0,50,"2,150.00",-,-,-
HAWKINCOOK,EQ,15-12-1997,41.50,40.0,43.55,40.0,-,43.55,41.79,"8,250","3,44,760.00",-,-,-
HAWKINCOOK,EQ,12-12-1997,41.00,41.5,41.5,41.2,-,41.5,41.46,750,"31,097.50",-,-,-
HAWKINCOOK,EQ,11-12-1997,41.25,41.0,41.0,41.0,-,41.0,41.0,200,"8,200.00",-,-,-
HAWKINCOOK,EQ,10-12-1997,40.25,40.55,41.25,40.55,-,41.25,40.9,100,"4,090.00",-,-,-
HAWKINCOOK,EQ,08-12-1997,41.95,40.25,40.25,40.05,-,40.25,40.2,200,"8,040.00",-,-,-
HAWKINCOOK,EQ,05-12-1997,40.05,41.95,41.95,41.95,-,41.95,41.95,100,"4,195.00",-,-,-
HAWKINCOOK,EQ,03-12-1997,42.00,40.05,40.05,40.05,-,40.05,40.05,150,"6,007.50",-,-,-
HAWKINCOOK,EQ,02-12-1997,41.50,41.0,42.0,40.0,-,42.0,40.82,250,"10,205.00",-,-,-
HAWKINCOOK,EQ,01-12-1997,41.50,41.5,41.5,41.5,-,41.5,41.5,100,"4,150.00",-,-,-
HAWKINCOOK,EQ,28-11-1997,41.00,41.95,42.0,41.5,-,41.5,41.82,150,"6,272.50",-,-,-
HAWKINCOOK,EQ,27-11-1997,40.15,41.0,41.0,41.0,-,41.0,41.0,500,"20,500.00",-,-,-
HAWKINCOOK,EQ,26-11-1997,38.25,39.5,40.15,39.5,-,40.15,39.94,300,"11,982.50",-,-,-
HAWKINCOOK,EQ,25-11-1997,39.00,39.0,39.0,38.25,-,38.25,38.75,300,"11,625.00",-,-,-
HAWKINCOOK,EQ,24-11-1997,39.00,39.0,39.0,39.0,-,39.0,39.0,100,"3,900.00",-,-,-
HAWKINCOOK,EQ,20-11-1997,39.50,39.25,39.25,39.0,-,39.0,39.17,150,"5,875.00",-,-,-
HAWKINCOOK,EQ,18-11-1997,39.00,40.0,40.0,39.3,-,39.5,39.89,450,"17,950.00",-,-,-
HAWKINCOOK,EQ,17-11-1997,40.00,39.0,39.0,39.0,-,39.0,39.0,300,"11,700.00",-,-,-
HAWKINCOOK,EQ,13-11-1997,41.50,41.5,41.5,40.0,-,40.0,41.17,300,"12,350.00",-,-,-
HAWKINCOOK,EQ,11-11-1997,41.00,41.5,41.5,41.5,-,41.5,41.5,100,"4,150.00",-,-,-
HAWKINCOOK,EQ,10-11-1997,42.55,42.5,43.25,41.0,-,41.0,41.66,650,"27,077.50",-,-,-
HAWKINCOOK,EQ,07-11-1997,43.50,44.55,44.55,41.75,-,42.55,43.71,550,"24,042.50",-,-,-
HAWKINCOOK,EQ,05-11-1997,44.00,43.75,43.75,43.5,-,43.5,43.63,200,"8,725.00",-,-,-
HAWKINCOOK,EQ,04-11-1997,42.00,43.5,44.05,41.0,-,44.0,43.29,350,"15,150.00",-,-,-
HAWKINCOOK,EQ,30-10-1997,42.90,42.0,42.0,42.0,-,42.0,42.0,50,"2,100.00",-,-,-
HAWKINCOOK,EQ,29-10-1997,40.85,40.55,42.9,40.55,-,42.9,42.73,700,"29,912.50",-,-,-
HAWKINCOOK,EQ,28-10-1997,43.00,45.1,45.1,40.85,-,40.85,42.48,850,"36,110.00",-,-,-
HAWKINCOOK,EQ,27-10-1997,42.00,43.0,43.5,43.0,-,43.0,43.09,700,"30,162.50",-,-,-
HAWKINCOOK,EQ,24-10-1997,42.50,42.0,43.45,42.0,-,42.0,42.47,600,"25,480.00",-,-,-
HAWKINCOOK,EQ,23-10-1997,42.00,42.5,43.0,42.25,-,42.5,42.52,650,"27,637.50",-,-,-
HAWKINCOOK,EQ,22-10-1997,43.90,43.5,43.5,42.0,-,42.0,42.71,350,"14,950.00",-,-,-
HAWKINCOOK,EQ,21-10-1997,42.50,42.5,43.9,42.5,-,43.9,42.97,150,"6,445.00",-,-,-
HAWKINCOOK,EQ,20-10-1997,42.60,42.25,42.9,42.25,-,42.5,42.49,250,"10,622.50",-,-,-
HAWKINCOOK,EQ,17-10-1997,43.00,44.85,44.85,42.6,-,42.6,43.37,150,"6,505.00",-,-,-
HAWKINCOOK,EQ,16-10-1997,41.60,41.65,43.1,41.65,-,43.0,42.49,300,"12,747.50",-,-,-
HAWKINCOOK,EQ,14-10-1997,42.75,44.5,44.5,41.6,-,41.6,42.97,"1,300","55,865.00",-,-,-
HAWKINCOOK,EQ,13-10-1997,44.00,43.55,43.55,42.75,-,42.75,43.13,300,"12,937.50",-,-,-
HAWKINCOOK,EQ,10-10-1997,43.75,43.5,45.0,43.5,-,44.0,44.21,500,"22,105.00",-,-,-
HAWKINCOOK,EQ,09-10-1997,43.30,43.5,43.75,43.2,-,43.75,43.51,400,"17,405.00",-,-,-
HAWKINCOOK,EQ,01-10-1997,41.25,41.85,43.3,41.85,-,43.3,42.59,300,"12,777.50",-,-,-
HAWKINCOOK,EQ,30-09-1997,40.00,41.25,41.85,41.0,-,41.25,41.23,550,"22,677.50",-,-,-
HAWKINCOOK,EQ,29-09-1997,42.00,40.25,40.25,40.0,-,40.0,40.06,200,"8,012.50",-,-,-
HAWKINCOOK,EQ,26-09-1997,43.00,41.4,42.5,41.25,-,42.0,41.74,400,"16,695.00",-,-,-
HAWKINCOOK,EQ,25-09-1997,45.00,43.75,44.65,43.0,-,43.0,43.36,750,"32,522.50",-,-,-
HAWKINCOOK,EQ,24-09-1997,46.50,47.0,47.0,45.0,-,45.0,45.67,150,"6,850.00",-,-,-
HAWKINCOOK,EQ,23-09-1997,44.65,45.2,46.5,45.2,-,46.5,45.85,100,"4,585.00",-,-,-
HAWKINCOOK,EQ,22-09-1997,44.50,46.75,46.75,44.65,-,44.65,45.7,100,"4,570.00",-,-,-
HAWKINCOOK,EQ,19-09-1997,45.95,46.0,46.0,44.0,-,44.5,44.59,300,"13,377.50",-,-,-
HAWKINCOOK,EQ,18-09-1997,45.55,45.9,45.95,45.9,-,45.95,45.92,150,"6,887.50",-,-,-
HAWKINCOOK,EQ,17-09-1997,46.10,45.55,45.55,45.55,-,45.55,45.55,150,"6,832.50",-,-,-
HAWKINCOOK,EQ,16-09-1997,47.75,47.0,47.5,46.0,-,46.1,46.94,900,"42,242.50",-,-,-
HAWKINCOOK,EQ,15-09-1997,48.00,48.5,48.5,47.75,-,47.75,48.22,350,"16,877.50",-,-,-
HAWKINCOOK,EQ,12-09-1997,48.00,49.0,49.0,48.0,-,48.0,48.5,200,"9,700.00",-,-,-
HAWKINCOOK,EQ,11-09-1997,48.65,48.0,48.0,47.35,-,48.0,47.86,450,"21,535.00",-,-,-
HAWKINCOOK,EQ,10-09-1997,51.00,50.0,50.0,48.65,-,48.65,49.73,250,"12,432.50",-,-,-
HAWKINCOOK,EQ,09-09-1997,50.05,51.0,51.0,51.0,-,51.0,51.0,100,"5,100.00",-,-,-
HAWKINCOOK,EQ,08-09-1997,54.45,52.1,52.1,49.6,-,50.05,51.29,250,"12,822.50",-,-,-
HAWKINCOOK,EQ,05-09-1997,52.10,52.5,54.5,52.5,-,54.45,52.94,450,"23,822.50",-,-,-
HAWKINCOOK,EQ,03-09-1997,55.50,56.0,56.0,52.1,-,52.1,54.05,100,"5,405.00",-,-,-
HAWKINCOOK,EQ,02-09-1997,55.00,54.25,56.0,54.25,-,55.5,55.3,400,"22,120.00",-,-,-
HAWKINCOOK,EQ,01-09-1997,55.00,54.75,56.2,54.05,-,55.0,55.0,500,"27,500.00",-,-,-
HAWKINCOOK,EQ,29-08-1997,55.10,55.5,56.0,55.0,-,55.0,55.5,200,"11,100.00",-,-,-
HAWKINCOOK,EQ,28-08-1997,58.40,56.0,56.0,55.1,-,55.1,55.54,800,"44,435.00",-,-,-
HAWKINCOOK,EQ,27-08-1997,56.00,58.4,58.4,58.4,-,58.4,58.4,50,"2,920.00",-,-,-
HAWKINCOOK,EQ,26-08-1997,57.00,56.0,56.0,55.25,-,56.0,55.78,450,"25,100.00",-,-,-
HAWKINCOOK,EQ,25-08-1997,61.00,55.5,57.25,55.5,-,57.0,56.62,"1,250","70,775.00",-,-,-
HAWKINCOOK,EQ,22-08-1997,58.50,56.0,61.0,56.0,-,61.0,57.6,250,"14,400.00",-,-,-
HAWKINCOOK,EQ,21-08-1997,58.50,57.05,58.5,57.05,-,58.5,57.53,150,"8,630.00",-,-,-
HAWKINCOOK,EQ,20-08-1997,58.55,58.5,58.5,58.5,-,58.5,58.5,100,"5,850.00",-,-,-
HAWKINCOOK,EQ,19-08-1997,59.50,65.0,65.0,58.55,-,58.55,60.77,300,"18,230.00",-,-,-
HAWKINCOOK,EQ,18-08-1997,62.00,60.0,60.0,59.0,-,59.5,59.72,900,"53,750.00",-,-,-
HAWKINCOOK,EQ,14-08-1997,64.25,62.0,62.0,61.0,-,62.0,61.91,550,"34,050.00",-,-,-
HAWKINCOOK,EQ,13-08-1997,66.05,65.75,65.75,64.0,-,64.25,64.78,"1,100","71,252.50",-,-,-
HAWKINCOOK,EQ,12-08-1997,64.00,67.0,68.0,65.5,-,66.05,66.4,"1,650","1,09,565.00",-,-,-
HAWKINCOOK,EQ,11-08-1997,63.00,62.05,65.5,62.05,-,64.0,63.72,"11,050","7,04,155.00",-,-,-
HAWKINCOOK,EQ,08-08-1997,67.10,64.25,64.5,63.0,-,63.0,64.1,500,"32,050.00",-,-,-
HAWKINCOOK,EQ,07-08-1997,69.50,66.5,70.9,66.5,-,67.1,68.59,"1,600","1,09,750.00",-,-,-
HAWKINCOOK,EQ,06-08-1997,64.90,60.0,69.5,60.0,-,69.5,64.75,"14,000","9,06,500.00",-,-,-
HAWKINCOOK,EQ,05-08-1997,65.00,62.05,67.0,62.05,-,64.9,64.95,600,"38,967.50",-,-,-
HAWKINCOOK,EQ,04-08-1997,63.30,65.0,65.0,65.0,-,65.0,65.0,400,"26,000.00",-,-,-
HAWKINCOOK,EQ,01-08-1997,63.75,62.5,64.0,62.5,-,63.3,63.2,650,"41,080.00",-,-,-
HAWKINCOOK,EQ,31-07-1997,62.00,60.0,63.75,60.0,-,63.75,61.88,100,"6,187.50",-,-,-
HAWKINCOOK,EQ,30-07-1997,61.00,62.0,63.0,62.0,-,62.0,62.25,200,"12,450.00",-,-,-
HAWKINCOOK,EQ,29-07-1997,61.95,62.5,62.5,61.0,-,61.0,61.5,600,"36,900.00",-,-,-
HAWKINCOOK,EQ,28-07-1997,58.05,62.0,62.0,60.05,-,61.95,61.33,300,"18,400.00",-,-,-
HAWKINCOOK,EQ,25-07-1997,60.00,59.0,59.0,54.6,-,58.05,57.85,650,"37,605.00",-,-,-
HAWKINCOOK,EQ,24-07-1997,62.00,60.0,60.0,60.0,-,60.0,60.0,100,"6,000.00",-,-,-
HAWKINCOOK,EQ,23-07-1997,59.55,62.0,62.0,62.0,-,62.0,62.0,150,"9,300.00",-,-,-
HAWKINCOOK,EQ,22-07-1997,62.90,60.0,61.0,59.3,-,59.55,59.93,500,"29,965.00",-,-,-
HAWKINCOOK,EQ,21-07-1997,63.75,62.0,63.4,61.0,-,62.9,62.77,"1,000","62,765.00",-,-,-
HAWKINCOOK,EQ,17-07-1997,61.50,63.0,64.0,62.0,-,63.75,63.15,650,"41,045.00",-,-,-
HAWKINCOOK,EQ,16-07-1997,62.45,61.5,61.5,61.5,-,61.5,61.5,100,"6,150.00",-,-,-
HAWKINCOOK,EQ,15-07-1997,64.00,62.1,63.0,62.1,-,62.45,62.43,400,"24,970.00",-,-,-
HAWKINCOOK,EQ,14-07-1997,63.55,64.75,64.75,64.0,-,64.0,64.15,250,"16,037.50",-,-,-
HAWKINCOOK,EQ,11-07-1997,63.10,63.0,64.5,61.75,-,63.55,63.78,800,"51,025.00",-,-,-
HAWKINCOOK,EQ,10-07-1997,62.70,63.25,68.9,63.0,-,63.1,63.87,"1,100","70,260.00",-,-,-
HAWKINCOOK,EQ,09-07-1997,59.50,61.0,63.0,61.0,-,62.7,61.77,"1,250","77,212.50",-,-,-
HAWKINCOOK,EQ,08-07-1997,61.00,62.95,62.95,59.5,-,59.5,61.15,500,"30,575.00",-,-,-
HAWKINCOOK,EQ,07-07-1997,60.90,58.0,61.0,56.05,-,61.0,58.69,500,"29,345.00",-,-,-
HAWKINCOOK,EQ,03-07-1997,60.00,61.0,61.0,59.5,-,60.9,60.37,300,"18,110.00",-,-,-
HAWKINCOOK,EQ,02-07-1997,55.95,57.25,60.0,57.25,-,60.0,59.6,550,"32,777.50",-,-,-
HAWKINCOOK,EQ,30-06-1997,58.00,55.9,56.0,55.9,-,55.95,55.95,100,"5,595.00",-,-,-
HAWKINCOOK,EQ,27-06-1997,53.00,53.55,58.3,53.55,-,58.0,55.25,"10,700","5,91,182.50",-,-,-
HAWKINCOOK,EQ,26-06-1997,52.75,57.45,57.5,53.0,-,53.0,55.69,500,"27,842.50",-,-,-
HAWKINCOOK,EQ,25-06-1997,56.50,52.55,56.95,52.55,-,52.75,54.71,"13,350","7,30,432.50",-,-,-
HAWKINCOOK,EQ,24-06-1997,54.75,51.25,57.5,51.25,-,56.5,53.55,"14,250","7,63,075.00",-,-,-
HAWKINCOOK,EQ,20-06-1997,54.00,54.75,54.75,54.75,-,54.75,54.75,100,"5,475.00",-,-,-
HAWKINCOOK,EQ,19-06-1997,53.00,53.0,54.0,53.0,-,54.0,53.63,300,"16,090.00",-,-,-
HAWKINCOOK,EQ,17-06-1997,52.60,54.0,54.0,53.0,-,53.0,53.57,450,"24,105.00",-,-,-
HAWKINCOOK,EQ,16-06-1997,53.50,52.6,52.6,52.6,-,52.6,52.6,50,"2,630.00",-,-,-
