SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HBESD,EQ,20-04-2026,73.75,61.3,77.9,61.3,74.9,66.3,68.27,202,"13,791.10",10,187,92.57
HBESD,EQ,21-04-2026,66.3,74.9,79.55,69.2,74.6,76.25,75.56,14338,10.83,281,4869,33.96
HBESD,EQ,22-04-2026,76.25,74.0,77.85,71.35,77.0,75.4,74.74,2692,2.01,100,1970,73.18
HBESD,EQ,23-04-2026,75.4,87.65,87.65,70.0,75.3,75.55,77.14,3561,2.75,51,2359,66.25
HBESD,EQ,24-04-2026,75.55,80.2,80.2,70.1,73.0,75.5,74.14,256,0.19,16,155,60.55
HBESD,EQ,27-04-2026,75.5,73.05,78.0,73.05,78.0,75.5,73.32,331,0.24,9,329,99.4
HBESD,EQ,28-04-2026,75.5,85.95,85.95,73.25,74.9,74.9,75.92,3091,2.35,97,2336,75.57
HBESD,EQ,29-04-2026,74.9,78.95,79.0,74.0,74.0,74.55,75.48,266,0.2,9,263,98.87
HBESD,EQ,30-04-2026,74.55,74.0,74.0,71.0,71.45,72.05,71.6,373,0.27,26,329,88.2
HBESD,EQ,04-05-2026,72.05,71.51,86.0,71.51,77.95,75.33,77.01,3449,2.66,116, 2404, 69.70
