SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HINDSPG,EQ,28-02-1996,50.0,45.0,45.0,45.0,-,45.0,45.0,100,"4,500.00",-,-,-
HINDSPG,EQ,13-03-1996,45.0,41.0,41.0,41.0,-,41.0,41.0,500,"20,500.00",-,-,-
HINDSPG,EQ,25-04-1996,41.0,41.0,41.0,41.0,-,41.0,41.0,100,"4,100.00",-,-,-
HINDSPG,EQ,26-04-1996,41.0,40.5,40.5,40.5,-,40.5,40.5,100,"4,050.00",-,-,-
HINDSPG,EQ,01-05-1996,40.5,37.0,37.0,37.0,-,37.0,37.0,300,"11,100.00",-,-,-
HINDSPG,EQ,02-05-1996,37.0,36.0,36.0,36.0,-,36.0,36.0,800,"28,800.00",-,-,-
HINDSPG,EQ,03-05-1996,36.0,36.0,36.0,36.0,-,36.0,36.0,200,"7,200.00",-,-,-
HINDSPG,EQ,06-05-1996,36.0,35.0,35.0,32.5,-,33.75,34.69,800,"27,750.00",-,-,-
HINDSPG,EQ,09-05-1996,33.75,34.0,34.0,34.0,-,34.0,34.0,100,"3,400.00",-,-,-
HINDSPG,EQ,10-05-1996,34.0,33.45,33.45,31.5,-,31.5,31.78,700,"22,245.00",-,-,-
HINDSPG,EQ,13-05-1996,31.5,31.5,31.5,31.5,-,31.5,31.5,200,"6,300.00",-,-,-
HINDSPG,EQ,27-05-1996,31.5,29.0,29.0,29.0,-,29.0,29.0,100,"2,900.00",-,-,-
HINDSPG,EQ,03-06-1996,29.0,27.0,27.0,27.0,-,27.0,27.0,100,"2,700.00",-,-,-
HINDSPG,EQ,11-06-1996,27.0,26.0,29.45,26.0,-,27.4,27.36,400,"10,945.00",-,-,-
HINDSPG,EQ,12-06-1996,27.4,29.0,29.0,29.0,-,29.0,29.0,"1,600","46,400.00",-,-,-
HINDSPG,EQ,14-06-1996,29.0,28.55,32.0,28.5,-,32.0,29.68,300,"8,905.00",-,-,-
HINDSPG,EQ,17-06-1996,32.0,34.0,34.0,34.0,-,34.0,34.0,300,"10,200.00",-,-,-
HINDSPG,EQ,18-06-1996,34.0,33.0,33.0,33.0,-,33.0,33.0,500,"16,500.00",-,-,-
HINDSPG,EQ,20-06-1996,33.0,32.6,32.6,30.0,-,30.0,31.18,"1,100","34,295.00",-,-,-
HINDSPG,EQ,21-06-1996,30.0,32.5,32.5,30.0,-,30.9,31.12,"1,200","37,345.00",-,-,-
HINDSPG,EQ,25-06-1996,30.9,27.9,27.9,27.9,-,27.9,27.9,100,"2,790.00",-,-,-
HINDSPG,EQ,26-06-1996,27.9,30.75,30.75,30.75,-,30.75,30.75,100,"3,075.00",-,-,-
HINDSPG,EQ,28-06-1996,30.75,30.75,30.75,30.75,-,30.75,30.75,100,"3,075.00",-,-,-
HINDSPG,EQ,02-07-1996,30.75,29.0,29.0,29.0,-,29.0,29.0,500,"14,500.00",-,-,-
HINDSPG,EQ,10-07-1996,29.0,28.0,28.0,28.0,-,28.0,28.0,200,"5,600.00",-,-,-
HINDSPG,EQ,25-07-1996,28.0,28.5,28.5,28.0,-,28.0,28.07,700,"19,650.00",-,-,-
HINDSPG,EQ,01-08-1996,28.0,25.5,25.5,25.5,-,25.5,25.5,100,"2,550.00",-,-,-
HINDSPG,EQ,06-08-1996,25.5,26.5,26.75,26.5,-,26.75,26.58,300,"7,975.00",-,-,-
HINDSPG,EQ,13-08-1996,26.75,25.0,25.0,25.0,-,25.0,25.0,100,"2,500.00",-,-,-
HINDSPG,EQ,14-08-1996,25.0,25.0,25.0,25.0,-,25.0,25.0,100,"2,500.00",-,-,-
HINDSPG,EQ,16-08-1996,25.0,26.0,26.3,26.0,-,26.3,26.1,300,"7,830.00",-,-,-
HINDSPG,EQ,19-08-1996,26.3,26.3,26.3,26.3,-,26.3,26.3,100,"2,630.00",-,-,-
HINDSPG,EQ,20-08-1996,26.3,28.0,28.0,26.3,-,26.3,27.15,200,"5,430.00",-,-,-
HINDSPG,EQ,27-08-1996,26.3,29.0,29.0,29.0,-,29.0,29.0,100,"2,900.00",-,-,-
HINDSPG,EQ,04-09-1996,29.0,27.0,28.0,27.0,-,28.0,27.17,600,"16,300.00",-,-,-
HINDSPG,EQ,05-09-1996,28.0,28.75,29.0,28.75,-,29.0,28.88,200,"5,775.00",-,-,-
HINDSPG,EQ,06-09-1996,29.0,29.5,31.0,29.5,-,30.05,30.13,500,"15,065.00",-,-,-
HINDSPG,EQ,09-09-1996,30.05,30.05,30.05,30.05,-,30.05,30.05,200,"6,010.00",-,-,-
HINDSPG,EQ,19-09-1996,30.05,27.1,27.1,27.1,-,27.1,27.1,500,"13,550.00",-,-,-
HINDSPG,EQ,20-09-1996,27.1,28.75,29.0,28.75,-,29.0,28.94,400,"11,575.00",-,-,-
HINDSPG,EQ,23-09-1996,29.0,26.8,26.8,26.8,-,26.8,26.8,100,"2,680.00",-,-,-
HINDSPG,EQ,24-09-1996,26.8,27.0,27.0,27.0,-,27.0,27.0,200,"5,400.00",-,-,-
HINDSPG,EQ,26-09-1996,27.0,27.95,27.95,27.95,-,27.95,27.95,100,"2,795.00",-,-,-
HINDSPG,EQ,14-10-1996,27.95,26.0,26.0,26.0,-,26.0,26.0,300,"7,800.00",-,-,-
HINDSPG,EQ,18-10-1996,26.0,24.0,24.0,24.0,-,24.0,24.0,100,"2,400.00",-,-,-
HINDSPG,EQ,22-10-1996,24.0,25.0,25.5,25.0,-,25.5,25.33,300,"7,600.00",-,-,-
HINDSPG,EQ,24-10-1996,25.5,27.0,27.0,27.0,-,27.0,27.0,100,"2,700.00",-,-,-
HINDSPG,EQ,13-12-1996,27.0,27.0,27.0,27.0,-,27.0,27.0,200,"5,400.00",-,-,-
HINDSPG,EQ,02-01-1997,27.0,26.5,27.0,26.5,-,27.0,26.9,500,"13,450.00",-,-,-
HINDSPG,EQ,03-01-1997,27.0,28.15,28.45,28.15,-,28.25,28.29,900,"25,465.00",-,-,-
HINDSPG,EQ,06-01-1997,28.25,27.95,27.95,27.95,-,27.95,27.95,200,"5,590.00",-,-,-
HINDSPG,EQ,07-01-1997,27.95,27.9,27.95,27.9,-,27.95,27.94,400,"11,175.00",-,-,-
HINDSPG,EQ,08-01-1997,27.95,27.95,30.45,27.95,-,30.45,29.96,900,"26,965.00",-,-,-
