SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HIRAFERRO,EQ,26-10-2011,34.3,28.2,28.2,28.2,28.2,28.2,28.2,1,28.20,1,-,-
HIRAFERRO,EQ,07-12-2011,25.3,24.1,27.9,24.1,27.9,27.9,26.0,300,"7,800.00",2,-,-
HIRAFERRO,EQ,09-12-2011,27.9,23.0,26.0,23.0,26.0,26.0,24.66,"1,600","39,460.00",4,-,-
HIRAFERRO,EQ,29-12-2011,25.5,23.3,26.7,23.3,26.65,26.65,25.01,370,"9,253.50",4,-,-
HIRAFERRO,EQ,05-01-2012,28.6,27.5,28.9,27.5,28.9,28.9,28.2,600,"16,920.00",2,-,-
HIRAFERRO,EQ,08-02-2012,32.0,31.1,33.5,31.1,33.5,33.5,32.3,400,"12,920.00",2,-,-
HIRAFERRO,EQ,29-02-2012,29.05,29.7,30.9,29.7,30.9,30.3,30.3,500,"15,150.00",2,-,-
HIRAFERRO,EQ,21-03-2012,30.2,28.6,31.5,28.6,31.5,31.5,30.05,600,"18,030.00",2,-,-
HIRAFERRO,EQ,15-05-2012,22.0,20.75,20.75,20.75,20.75,20.75,20.75,5,103.75,1,-,-
HIRAFERRO,EQ,30-01-2013,18.8,17.05,17.1,17.05,17.1,17.05,17.08,2,34.15,2,-,-
HIRAFERRO,EQ,04-04-2013,14.85,14.4,14.4,14.15,14.15,14.15,14.28,2,28.55,2,-,-
