SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HSBCGOLD,EQ,27-03-2026,119.17,123.99,126.99,122.41,123.75,123.84,125.3,"32,080","40,19,748.40",160,"10,037",31.29
HSBCGOLD,EQ,30-03-2026,123.84,124.45,146.4,121.36,127.6,127.63,127.0,15668,19.9,131, 9356,59.71
HSBCGOLD,EQ,01-04-2026,127.63,130.74,133.99,125.99,129.0,128.98,129.9,15095,19.61,299, 6493,43.01
HSBCGOLD,EQ,02-04-2026,128.98,129.35,129.35,125.5,127.5,126.73,127.43,5275,6.72,85, 3487,66.1
HSBCGOLD,EQ,06-04-2026,126.73,129.26,131.38,125.06,128.65,129.34,128.96,7290,9.4,85, 4941,67.78
HSBCGOLD,EQ,07-04-2026,129.34,126.75,129.09,126.75,128.99,128.67,128.4,1253,1.61,55, 998,79.65
HSBCGOLD,EQ,08-04-2026,128.67,132.01,134.79,130.37,130.37,130.73,131.44,4513,5.93,66, 2555,56.61
HSBCGOLD,EQ,09-04-2026,130.73,132.0,132.0,128.01,129.18,129.16,129.86,47732,61.98,69, 45561,95.45
HSBCGOLD,EQ,10-04-2026,129.16,129.45,130.26,129.1,130.0,129.94,129.95,154718,201.05,45, 154288,99.72
HSBCGOLD,EQ,13-04-2026,129.94,133.18,134.0,129.94,129.94,132.22,132.15,4226,5.58,75, 1955,46.26
HSBCGOLD,EQ,15-04-2026,132.22,132.22,135.5,129.3,131.0,131.95,132.27,6874,9.09,284, 5046,73.41
HSBCGOLD,EQ,16-04-2026,131.95,134.59,134.59,131.4,132.0,131.63,132.76,8789,11.67,89, 7978,90.77
HSBCGOLD,EQ,17-04-2026,131.63,135.0,135.0,130.61,132.1,131.98,131.5,6024,7.92,99, 3223,53.5
HSBCGOLD,EQ,20-04-2026,131.98,134.65,134.65,130.57,131.14,131.55,131.62,4984,6.56,92, 3091,62.02
HSBCGOLD,EQ,21-04-2026,131.55,134.18,134.59,130.65,131.95,131.62,131.77,347029,457.28,99, 345470,99.55
HSBCGOLD,EQ,22-04-2026,131.62,132.27,132.93,130.01,130.91,131.46,131.73,2884,3.8,36, 2066,71.64
HSBCGOLD,EQ,23-04-2026,131.46,130.0,133.5,130.0,130.64,130.67,130.89,67735,88.66,187, 54162,79.96
HSBCGOLD,EQ,24-04-2026,130.67,133.3,133.3,129.91,130.6,130.59,130.61,82240,107.41,2480, 81936,99.63
HSBCGOLD,EQ,27-04-2026,130.59,130.59,133.37,128.96,131.1,131.0,131.0,154602,202.52,727, 152320,98.52
HSBCGOLD,EQ,28-04-2026,131.0,130.99,131.0,128.36,128.96,128.86,129.47,16941,21.93,1254, 15010,88.6
HSBCGOLD,EQ,29-04-2026,128.86,129.0,130.49,127.5,127.92,127.53,128.87,2330,3.0,1252, 602,25.84
HSBCGOLD,EQ,30-04-2026,127.53,128.17,131.0,127.92,130.3,130.4,129.29,3121,4.04,1830, 579, 18.55
