SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INA,EQ,09-03-2026,96.15,97.0,98.48,93.6,97.25,96.81,96.59,"3,45,985","3,34,17,468.53","3,632","2,40,046",69.38
INA,EQ,10-03-2026,96.81,98.01,101.98,97.0,100.0,100.0,99.96,443208,443.05,4821, 263357,59.42
INA,EQ,11-03-2026,100.0,101.4,104.9,99.54,100.0,100.21,102.1,496839,507.29,3524, 312453,62.89
INA,EQ,12-03-2026,100.21,101.35,101.9,97.0,97.97,98.02,99.96,442673,442.48,3106, 301122,68.02
INA,EQ,13-03-2026,98.02,96.56,99.69,93.0,95.06,95.23,96.18,460671,443.05,7177, 237819,51.62
INA,EQ,16-03-2026,95.23,97.2,98.65,91.11,91.7,91.97,93.35,1077294,1005.62,9146, 754765,70.06
INA,EQ,17-03-2026,91.97,92.89,96.2,92.4,92.97,93.2,93.67,620688,581.42,3844, 407900,65.72
INA,EQ,18-03-2026,93.2,94.6,103.5,93.77,100.25,100.45,99.5,1017526,1012.39,6520, 597571,58.73
INA,EQ,19-03-2026,100.45,98.0,101.29,95.55,96.8,96.2,98.27,440496,432.88,5196, 190521,43.25
INA,EQ,20-03-2026,96.2,97.47,103.99,97.47,101.3,101.3,101.16,917979,928.62,4460, 709686,77.31
INA,EQ,23-03-2026,101.3,101.3,101.3,94.0,96.5,94.75,96.67,560709,542.02,5358, 261992, 46.73
