SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INDPRUD,EQ,20-04-2026,"6,263.20","6,200.00","6,665.00","6,136.05","6,574.00","6,572.65","6,260.91",138,"8,64,004.95",37,119,86.23
INDPRUD,EQ,21-04-2026,6572.65,6300.05,6725.0,6300.05,6606.0,6596.6,6583.58,40,2.63,17,34,85.0
INDPRUD,EQ,22-04-2026,6596.6,6620.05,6701.0,6400.0,6701.0,6701.0,6609.05,65,4.3,44,27,41.54
INDPRUD,EQ,23-04-2026,6701.0,6690.05,6750.0,6400.0,6689.75,6689.75,6638.46,182,12.08,127,65,35.71
INDPRUD,EQ,24-04-2026,6689.75,6534.95,6689.75,6502.0,6502.0,6502.0,6589.02,139,9.16,69,10,7.19
INDPRUD,EQ,27-04-2026,6502.0,6749.95,6799.95,6300.0,6799.95,6799.95,6629.91,65,4.31,22,19,29.23
INDPRUD,EQ,28-04-2026,6799.95,6299.95,6731.9,6299.95,6699.0,6697.0,6528.15,168,10.97,63,102,60.71
INDPRUD,EQ,29-04-2026,6697.0,6750.05,7024.0,6531.6,6949.95,6949.95,6759.05,124,8.38,49,33,26.61
INDPRUD,EQ,30-04-2026,6949.95,6880.05,7052.5,6607.65,6801.0,6805.1,6790.22,282,19.15,54,226,80.14
INDPRUD,EQ,04-05-2026,6805.1,6805.0,6990.5,6620.0,6620.0,6620.0,6785.4,122,8.28,96,42,34.43
INDPRUD,EQ,05-05-2026,6620.0,6850.0,6900.0,6843.5,6843.5,6843.5,6856.3,5,0.34,4, 3, 60.00
