SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INNOVISION,EQ,23-03-2026,519.0,467.7,470.0,374.2,374.2,374.2,442.74,"73,14,994","3,23,86,13,362.85","69,975","47,65,374",65.15
INNOVISION,EQ,24-03-2026,374.2,369.0,383.3,311.1,355.15,350.8,342.77,2930604,10045.14,53981, 908188,30.99
INNOVISION,EQ,25-03-2026,350.8,359.0,384.5,358.3,375.35,376.7,373.98,1827047,6832.85,24581, 951243,52.06
INNOVISION,EQ,27-03-2026,376.7,376.05,376.1,345.5,348.8,356.45,356.96,872085,3113.03,10393, 568238,65.16
INNOVISION,EQ,30-03-2026,356.45,351.05,351.05,315.35,318.8,322.9,335.08,713962,2392.34,6843, 555826,77.85
INNOVISION,EQ,01-04-2026,322.9,329.65,350.85,328.0,336.35,335.55,340.71,279739,953.1,8430, 34939,12.49
INNOVISION,EQ,02-04-2026,335.55,332.0,339.15,320.0,335.65,333.65,332.15,135774,450.98,3881, 32632,24.03
INNOVISION,EQ,06-04-2026,333.65,331.05,345.6,331.05,335.0,336.9,339.05,172836,586.01,4529, 33646,19.47
INNOVISION,EQ,07-04-2026,336.9,336.6,340.0,323.0,326.0,325.25,330.72,125039,413.53,4201, 39059,31.24
INNOVISION,EQ,08-04-2026,325.25,339.85,339.85,315.0,316.5,318.2,325.18,232725,756.78,6158, 115666,49.7
INNOVISION,EQ,09-04-2026,318.2,322.0,324.95,314.35,315.6,315.75,318.7,154254,491.61,4783, 42206,27.36
INNOVISION,EQ,10-04-2026,315.75,315.6,322.0,306.5,311.8,311.2,311.81,201181,627.29,5535, 66246,32.93
INNOVISION,EQ,13-04-2026,311.2,303.7,331.65,303.5,318.0,317.25,319.79,432199,1382.12,11956, 94384,21.84
INNOVISION,EQ,15-04-2026,317.25,324.7,330.0,313.2,321.25,322.0,320.57,307364,985.32,5746, 75605,24.6
INNOVISION,EQ,16-04-2026,322.0,322.0,326.45,315.3,318.75,319.05,319.77,112188,358.74,3084, 36176,32.25
INNOVISION,EQ,17-04-2026,319.05,319.0,322.35,313.65,315.9,316.6,318.01,87885,279.48,2529, 39832,45.32
INNOVISION,EQ,20-04-2026,316.6,318.15,343.7,312.35,322.0,322.55,327.78,2094224,6864.5,10204, 1763022,84.18
INNOVISION,EQ,21-04-2026,322.55,327.55,387.05,324.05,350.0,351.0,365.47,2400676,8773.77,36944, 426204,17.75
INNOVISION,EQ,22-04-2026,351.0,347.8,355.8,341.0,343.0,344.25,348.46,260381,907.32,5531, 108511,41.67
INNOVISION,EQ,23-04-2026,344.25,346.0,347.05,324.95,339.4,342.3,336.5,438417,1475.28,9001, 144052,32.86
INNOVISION,EQ,24-04-2026,342.3,342.0,344.75,325.0,326.2,327.85,331.62,99684,330.57,2931, 46286,46.43
INNOVISION,EQ,27-04-2026,327.85,331.0,332.15,327.05,330.2,330.45,329.83,74733,246.49,2180, 30111, 40.29
