SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INVPRECQ,EQ,20-04-2026,626.55,650.0,689.0,630.0,680.0,672.1,666.61,"2,575","17,16,511.40",119,"1,872",72.7
INVPRECQ,EQ,21-04-2026,672.1,699.0,710.0,665.0,679.0,681.05,690.64,3475,24.0,217, 2462,70.85
INVPRECQ,EQ,22-04-2026,681.05,683.0,689.05,620.0,626.0,635.45,636.05,18234,115.98,748, 13841,75.91
INVPRECQ,EQ,23-04-2026,635.45,638.1,640.3,610.65,639.6,630.9,631.34,3098,19.56,150, 2102,67.85
INVPRECQ,EQ,24-04-2026,630.9,650.0,655.0,602.0,619.0,608.95,625.43,10675,66.76,453, 6045,56.63
INVPRECQ,EQ,27-04-2026,608.95,621.1,625.95,585.05,610.0,598.35,601.88,8652,52.07,438, 6347,73.36
INVPRECQ,EQ,28-04-2026,598.35,639.9,649.0,600.65,646.0,630.4,625.73,5836,36.52,366, 3385,58.0
INVPRECQ,EQ,29-04-2026,630.4,626.1,649.95,618.05,632.35,632.0,636.11,2569,16.34,291, 1265,49.24
INVPRECQ,EQ,30-04-2026,632.0,649.65,649.65,567.95,601.0,599.75,590.58,24090,142.27,2199, 10389,43.13
INVPRECQ,EQ,04-05-2026,599.75,598.0,619.95,595.0,619.95,611.3,605.57,4892,29.62,567, 2483,50.76
INVPRECQ,EQ,06-05-2026,575.5,579.9,609.0,573.7,609.0,593.05,587.44,7033,41.31,700, 4650,66.12
INVPRECQ,EQ,05-05-2026,611.3,620.25,628.9,551.0,580.0,575.5,578.79,25615,148.26,2350, 9319, 36.38
