SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JDORGOCHEM,EQ,26-11-2008,2.7,2.6,2.85,2.6,2.85,2.85,2.73,2,5.45,-,-,-
JDORGOCHEM,EQ,28-11-2008,2.85,2.75,2.75,2.75,2.75,2.75,2.75,2,5.50,-,-,-
JDORGOCHEM,EQ,05-12-2008,2.55,2.7,2.7,2.7,2.7,2.7,2.7,1,2.70,-,-,-
JDORGOCHEM,EQ,12-12-2008,2.6,2.75,2.75,2.75,2.75,2.75,2.75,1,2.75,-,-,-
JDORGOCHEM,EQ,16-12-2008,2.7,2.85,2.85,2.85,2.85,2.85,2.85,1,2.85,-,-,-
JDORGOCHEM,EQ,18-12-2008,2.75,2.9,2.9,2.9,2.9,2.9,2.9,1,2.90,-,-,-
JDORGOCHEM,EQ,15-01-2009,2.0,2.15,2.15,2.0,2.0,2.0,2.08,2,4.15,-,-,-
JDORGOCHEM,EQ,16-12-2009,3.4,3.6,3.6,3.6,3.6,3.6,3.6,3,10.80,-,-,-
JDORGOCHEM,EQ,18-01-2011,3.4,3.55,3.55,3.55,3.55,3.55,3.55,1,3.55,-,-,-
JDORGOCHEM,EQ,20-01-2011,3.45,3.3,3.3,3.3,3.3,3.3,3.3,1,3.30,-,-,-
JDORGOCHEM,EQ,25-01-2011,3.15,3.35,3.35,3.35,3.35,3.35,3.35,1,3.35,-,-,-
JDORGOCHEM,EQ,27-01-2011,3.35,3.55,3.55,3.55,3.55,3.55,3.55,5,17.75,-,-,-
JDORGOCHEM,EQ,19-09-2011,5.1,5.4,5.4,5.4,5.4,5.4,5.4,1,5.40,1,-,-
JDORGOCHEM,EQ,23-09-2011,5.35,5.65,5.65,5.65,5.65,5.65,5.65,1,5.65,1,-,-
