SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KAMAHOLD,EQ,20-04-2026,"2,516.75","2,538.00","2,538.00","2,501.00","2,505.00","2,506.10","2,517.03",457,"11,50,282.15",47,398,87.09
KAMAHOLD,EQ,21-04-2026,2506.1,2524.95,2525.05,2461.0,2500.0,2492.3,2504.61,2076,52.0,220,1665,80.2
KAMAHOLD,EQ,22-04-2026,2492.3,2501.05,2537.0,2492.3,2504.0,2517.1,2521.72,939,23.68,142,674,71.78
KAMAHOLD,EQ,23-04-2026,2517.1,2517.1,2561.85,2461.2,2521.0,2536.2,2533.41,1741,44.11,258,1153,66.23
KAMAHOLD,EQ,24-04-2026,2536.2,2527.0,2539.0,2479.0,2479.0,2484.15,2509.9,1233,30.95,284,880,71.37
KAMAHOLD,EQ,27-04-2026,2484.15,2484.15,2539.35,2473.0,2500.0,2498.95,2495.33,18370,458.39,850,16945,92.24
KAMAHOLD,EQ,28-04-2026,2498.95,2500.05,2520.0,2481.05,2500.05,2502.25,2499.37,17748,443.59,821,16792,94.61
KAMAHOLD,EQ,29-04-2026,2502.25,2492.55,2644.95,2484.05,2490.0,2494.4,2524.06,20416,515.31,1714,16405,80.35
KAMAHOLD,EQ,30-04-2026,2494.4,2494.4,2549.8,2475.0,2530.0,2502.9,2500.33,2669,66.73,639,1367,51.22
KAMAHOLD,EQ,04-05-2026,2502.9,2502.9,2541.9,2502.9,2505.1,2513.4,2523.21,2029,51.2,426,905,44.6
KAMAHOLD,EQ,06-05-2026,2497.3,2524.9,2687.9,2493.8,2675.0,2663.2,2562.36,20989,537.81,2709,13684,65.2
KAMAHOLD,EQ,05-05-2026,2513.4,2507.0,2515.0,2481.0,2500.0,2497.3,2500.01,1932,48.3,395, 1213, 62.78
