SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KLBRENG-B,EQ,20-04-2026,513.7,515.0,533.0,500.1,520.0,519.8,518.41,"36,969","1,91,65,240.95","1,036","32,008",86.58
KLBRENG-B,EQ,21-04-2026,519.8,520.8,544.85,509.6,525.05,530.1,526.76,126450,666.09,3906, 89393,70.69
KLBRENG-B,EQ,22-04-2026,530.1,530.15,532.0,522.0,527.0,526.7,525.54,77828,409.02,1931, 60716,78.01
KLBRENG-B,EQ,23-04-2026,526.7,527.0,532.3,504.05,514.9,513.9,515.44,66498,342.75,2212, 46953,70.61
KLBRENG-B,EQ,24-04-2026,513.9,513.35,522.95,505.5,516.0,514.35,513.54,23004,118.14,777, 17972,78.13
KLBRENG-B,EQ,27-04-2026,514.35,514.35,520.0,506.05,513.9,513.45,511.15,38397,196.26,1781, 30126,78.46
KLBRENG-B,EQ,28-04-2026,513.45,514.15,514.15,506.0,508.15,509.75,509.79,50193,255.88,800, 43550,86.77
KLBRENG-B,EQ,29-04-2026,509.75,510.0,511.0,503.15,506.0,506.05,507.69,51240,260.14,1452, 40618,79.27
KLBRENG-B,EQ,30-04-2026,506.05,501.0,513.0,496.35,509.0,508.1,505.57,26871,135.85,1487, 19801,73.69
KLBRENG-B,EQ,04-05-2026,508.1,511.05,519.0,500.0,509.95,511.75,510.05,32852,167.56,1809, 20616,62.75
KLBRENG-B,EQ,06-05-2026,516.85,516.85,523.0,508.0,518.0,519.5,512.71,92870,476.15,1884, 72296,77.85
KLBRENG-B,EQ,05-05-2026,511.75,506.0,520.0,506.0,515.0,516.85,517.42,40013,207.04,1566, 33913, 84.75
