SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KPL,EQ,20-04-2026,"1,747.00","1,747.00","1,770.00","1,650.00","1,665.00","1,662.60","1,685.81","10,069","1,69,74,413.85",820,"5,942",59.01
KPL,EQ,21-04-2026,1662.6,1680.0,1687.95,1561.0,1568.0,1586.5,1620.31,23161,375.28,2353, 15089,65.15
KPL,EQ,22-04-2026,1586.5,1580.0,1667.8,1564.05,1647.0,1641.8,1626.35,23224,377.7,2143, 13435,57.85
KPL,EQ,23-04-2026,1641.8,1636.0,1737.45,1630.85,1683.35,1683.65,1695.89,24214,410.64,2970, 12247,50.58
KPL,EQ,24-04-2026,1683.65,1708.9,1729.95,1600.0,1615.0,1621.5,1667.73,12279,204.78,1601, 7531,61.33
KPL,EQ,27-04-2026,1621.5,1637.5,1674.0,1590.0,1601.0,1595.35,1613.37,18186,293.41,2055, 10968,60.31
KPL,EQ,28-04-2026,1595.35,1599.05,1660.4,1590.0,1590.0,1606.85,1631.45,12797,208.78,1717, 8013,62.62
KPL,EQ,29-04-2026,1606.85,1622.85,1653.7,1590.0,1616.75,1596.45,1609.25,8405,135.26,960, 5437,64.69
KPL,EQ,30-04-2026,1596.45,1601.95,1640.0,1564.0,1567.2,1579.55,1600.64,9092,145.53,1160, 5592,61.5
KPL,EQ,04-05-2026,1579.55,1589.7,1667.0,1581.0,1646.0,1656.7,1636.3,16211,265.26,2128, 11646,71.84
KPL,EQ,06-05-2026,1664.2,1668.0,1769.0,1632.1,1736.9,1732.4,1703.71,20336,346.47,2397, 11028,54.23
KPL,EQ,05-05-2026,1656.7,1602.1,1713.9,1602.1,1668.6,1664.2,1681.1,14370,241.57,2149, 7802, 54.29
