SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KWIL,BE,16-02-2026,40.2,29.8,31.29,28.31,29.2,29.42,29.91,"4,97,15,872","1,48,71,65,328.04","1,29,649",-,-
KWIL,BE,17-02-2026,29.42,28.55,29.2,27.95,27.95,27.95,28.15,34316148,9660.11,84181, -, -
KWIL,BE,18-02-2026,27.95,26.56,29.34,26.56,29.34,29.33,27.63,90581096,25028.35,51869, -, -
KWIL,BE,19-02-2026,29.33,28.16,29.24,28.02,29.15,28.59,28.49,35430376,10095.51,113958, -, -
KWIL,BE,20-02-2026,28.59,28.27,28.65,27.37,27.6,27.73,28.11,12791488,3595.37,68496, -, -
KWIL,BE,23-02-2026,27.73,27.14,27.9,26.5,27.81,26.95,26.97,85455449,23044.92,133691, -, -
KWIL,BE,24-02-2026,26.95,26.5,26.85,25.7,26.0,26.21,26.19,19705896,5161.67,34464, -, -
KWIL,BE,25-02-2026,26.21,26.17,26.38,25.23,25.7,25.74,25.72,9306265,2393.36,25855, -, -
KWIL,BE,26-02-2026,25.74,26.0,26.69,25.72,26.1,25.94,26.14,10177805,2660.54,43333, -, -
KWIL,BE,27-02-2026,25.94,26.39,26.46,25.6,26.19,26.12,25.98,20356562,5288.51,27924, -, -
KWIL,EQ,02-03-2026,26.12,25.01,28.24,25.01,28.22,28.01,27.2,45300436,12320.41,41894, 24387461, 53.83
KWIL,EQ,04-03-2026,28.01,27.5,28.26,26.86,26.88,27.11,27.5,20841862,5731.19,37943, 10487896, 50.32
KWIL,EQ,05-03-2026,27.11,27.19,27.63,26.73,26.99,26.95,27.16,12017035,3263.94,20009, 6487427, 53.99
KWIL,EQ,06-03-2026,26.95,26.89,27.2,26.25,26.35,26.3,26.68,10063477,2684.61,22342, 6792772, 67.50
KWIL,EQ,09-03-2026,26.3,24.6,25.97,24.25,25.87,25.54,25.01,21047779,5264.82,42418, 12855181, 61.08
KWIL,EQ,10-03-2026,25.54,26.13,27.05,25.56,26.5,26.47,26.41,19672167,5195.55,29696, 11643364, 59.19
KWIL,EQ,11-03-2026,26.47,26.72,26.9,26.15,26.67,26.59,26.52,7016404,1860.64,18847, 4471295, 63.73
KWIL,EQ,12-03-2026,26.59,26.39,26.52,25.02,25.54,25.54,25.98,5991287,1556.73,20790, 3829304, 63.91
KWIL,EQ,13-03-2026,25.54,25.78,25.89,24.79,24.94,24.82,25.18,5337348,1343.83,19977, 3565411, 66.80
KWIL,EQ,16-03-2026,24.82,24.98,25.07,23.95,24.39,24.23,24.49,9174083,2246.61,31303, 5908569, 64.41
KWIL,EQ,17-03-2026,24.23,24.58,24.92,24.1,24.2,24.25,24.46,10259439,2508.97,38669, 6465694, 63.02
KWIL,EQ,18-03-2026,24.25,24.48,25.42,24.11,24.7,24.71,24.78,11998481,2973.78,25978, 7178328, 59.83
KWIL,EQ,19-03-2026,24.71,24.25,24.65,23.6,24.05,23.85,24.05,9923643,2387.03,27058, 6432380, 64.82
KWIL,EQ,20-03-2026,23.85,23.97,24.39,23.25,23.55,23.53,23.68,11253763,2664.78,30043, 6962750, 61.87
KWIL,EQ,23-03-2026,23.53,23.53,23.55,22.42,23.26,23.18,22.91,9903961,2269.17,29894, 5947937, 60.06
KWIL,EQ,24-03-2026,23.18,23.69,23.99,22.86,23.59,23.63,23.25,10501182,2441.28,24125, 4920012, 46.85
KWIL,EQ,25-03-2026,23.63,23.79,24.61,23.56,24.26,24.24,24.26,6609120,1603.24,19929, 3073358, 46.50
KWIL,EQ,27-03-2026,24.24,24.21,24.29,23.3,23.58,23.6,23.63,13085554,3091.73,33633, 6875198, 52.54
KWIL,EQ,30-03-2026,23.6,23.6,23.6,22.24,22.8,22.47,22.68,12208307,2768.72,31602, 6402271, 52.44
