SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LAHOTIOV,EQ,20-04-2026,44.1,44.1,44.1,44.1,44.1,44.1,44.1,10,441.0,2,10,100.0
LAHOTIOV,EQ,21-04-2026,44.1,44.3,44.3,44.0,44.0,44.0,44.01,108,0.05,7,106,98.15
LAHOTIOV,EQ,22-04-2026,44.0,44.05,52.8,43.95,50.8,50.6,50.3,193266,97.21,964,112818,58.37
LAHOTIOV,EQ,23-04-2026,50.6,51.7,51.7,48.3,49.3,48.7,49.17,61999,30.48,636,36720,59.23
LAHOTIOV,EQ,24-04-2026,48.7,48.7,50.85,48.4,49.55,49.1,49.25,11720,5.77,191,6237,53.22
LAHOTIOV,EQ,27-04-2026,49.1,49.6,49.6,48.65,49.2,48.9,49.01,16135,7.91,48,15767,97.72
LAHOTIOV,EQ,28-04-2026,48.9,49.6,49.6,47.0,47.65,47.75,48.04,15841,7.61,272,8498,53.65
LAHOTIOV,EQ,29-04-2026,47.75,49.45,50.25,45.3,49.2,47.65,48.55,87893,42.68,804,67378,76.66
LAHOTIOV,EQ,30-04-2026,47.65,50.4,50.4,47.35,49.0,48.85,48.8,20474,9.99,194,10892,53.2
LAHOTIOV,EQ,04-05-2026,48.85,49.55,53.9,48.51,49.01,49.25,49.55,61516,30.48,183, 38847, 63.15
