SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LICNFNHGP,EQ,11-08-2017,97.0,102.0,102.95,96.25,96.25,96.25,99.67,40,"3,986.75",6,-,-
LICNFNHGP,EQ,16-08-2017,96.25,105.0,105.0,94.8,96.5,100.15,99.59,302,"30,075.25",8,-,-
LICNFNHGP,EQ,15-09-2017,102.05,108.6,108.8,102.3,107.0,107.0,105.72,640,"67,657.70",13,-,-
LICNFNHGP,EQ,03-11-2017,105.5,105.4,105.4,102.4,102.4,102.4,103.9,300,"31,170.00",2,-,-
LICNFNHGP,EQ,27-07-2018,116.35,117.0,119.4,117.0,119.4,119.4,118.2,2,236.40,2,-,-
LICNFNHGP,EQ,31-07-2018,119.4,117.0,120.15,117.0,120.15,120.15,118.83,4,475.30,3,-,-
LICNFNHGP,EQ,10-08-2018,120.85,120.85,121.1,119.0,119.0,119.0,120.0,34,"4,079.95",4,-,-
LICNFNHGP,EQ,23-10-2018,109.1,108.0,108.0,105.9,105.9,105.9,106.95,2,213.90,2,-,-
LICNFNHGP,EQ,21-11-2018,125.13,114.0,125.0,114.0,125.0,119.5,119.5,100,"11,950.00",2,-,-
LICNFNHGP,EQ,29-01-2019,112.4,110.91,114.0,110.91,114.0,112.45,112.46,"1,000","1,12,455.00",2,-,-
LICNFNHGP,EQ,28-08-2019,114.5,114.5,116.1,114.5,116.1,116.1,115.3,100,"11,530.00",2,-,-
