SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MADHAVIPL,EQ,20-04-2026,9.15,9.1,9.45,8.0,8.9,8.9,8.91,"1,34,271","11,95,782.90",190,"74,353",55.38
MADHAVIPL,EQ,21-04-2026,8.9,9.2,9.25,8.8,9.2,9.15,9.08,47192,4.28,257, 39629,83.97
MADHAVIPL,EQ,22-04-2026,9.15,9.1,9.2,8.9,9.1,9.05,9.03,77133,6.97,310, 65482,84.89
MADHAVIPL,EQ,23-04-2026,9.05,9.1,9.5,8.5,9.4,9.0,9.27,456300,42.3,683, 276324,60.56
MADHAVIPL,EQ,24-04-2026,9.0,9.3,9.9,9.1,9.5,9.55,9.55,319917,30.54,687, 233580,73.01
MADHAVIPL,EQ,27-04-2026,9.55,9.65,9.9,9.5,9.65,9.6,9.68,143302,13.87,479, 116058,80.99
MADHAVIPL,EQ,28-04-2026,9.6,9.85,9.85,9.5,9.5,9.5,9.61,97873,9.41,347, 73457,75.05
MADHAVIPL,EQ,29-04-2026,9.5,9.4,9.75,9.3,9.4,9.35,9.42,46694,4.4,338, 35478,75.98
MADHAVIPL,EQ,30-04-2026,9.35,9.35,9.55,9.2,9.2,9.2,9.31,59981,5.59,329, 50279,83.82
MADHAVIPL,EQ,04-05-2026,9.2,9.64,9.64,9.03,9.25,9.09,9.18,205910,18.89,463, 165380, 80.32
