SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAFATIND,EQ,20-04-2026,132.4,137.0,137.0,130.0,131.1,130.65,132.65,"12,591","16,70,200.30",518,"8,477",67.33
MAFATIND,EQ,21-04-2026,130.65,131.9,136.65,130.0,132.6,133.3,133.52,41443,55.34,1031, 18842,45.46
MAFATIND,EQ,22-04-2026,133.3,135.35,135.4,131.1,134.2,133.8,133.51,10248,13.68,284, 7047,68.76
MAFATIND,EQ,23-04-2026,133.8,133.0,141.0,132.55,140.0,139.4,137.89,65117,89.79,1662, 38657,59.37
MAFATIND,EQ,24-04-2026,139.4,140.4,140.4,134.0,136.0,135.2,136.41,22094,30.14,631, 11131,50.38
MAFATIND,EQ,27-04-2026,135.2,131.75,138.0,131.75,135.95,136.2,136.5,21767,29.71,616, 14776,67.88
MAFATIND,EQ,28-04-2026,136.2,135.0,137.9,135.0,136.95,136.15,136.69,11835,16.18,322, 8740,73.85
MAFATIND,EQ,29-04-2026,136.15,135.0,139.6,135.0,137.0,137.35,137.86,37132,51.19,812, 22643,60.98
MAFATIND,EQ,30-04-2026,137.35,137.0,137.0,133.8,135.95,135.45,135.83,12761,17.33,286, 8708,68.24
MAFATIND,EQ,04-05-2026,135.45,135.45,141.75,135.45,140.2,139.63,139.96,50890,71.22,1064, 28601, 56.20
