SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAHAPE-RE,BE,02-04-2026,42.99,25.8,42.7,25.8,31.5,31.57,31.54,"75,417","23,78,376.19",337,-,-
MAHAPE-RE,BE,06-04-2026,31.57,22.0,30.93,22.0,30.07,30.61,28.84,81524,23.51,425, -, -
MAHAPE-RE,BE,07-04-2026,30.61,30.61,34.79,28.75,33.5,32.34,30.86,62011,19.13,180, -, -
MAHAPE-RE,BE,08-04-2026,32.34,32.18,34.0,31.0,34.0,33.66,32.54,23960,7.8,170, -, -
MAHAPE-RE,BE,09-04-2026,33.66,33.66,34.55,31.0,34.5,34.25,33.77,19464,6.57,98, -, -
MAHAPE-RE,BE,10-04-2026,34.25,29.05,37.0,29.05,35.15,36.03,35.24,22157,7.81,181, -, -
MAHAPE-RE,BE,13-04-2026,36.03,31.0,35.75,31.0,35.3,35.46,35.3,14383,5.08,80, -, -
MAHAPE-RE,BE,15-04-2026,35.46,33.2,37.0,33.2,36.0,35.96,35.48,6941,2.46,78, -, -
MAHAPE-RE,BE,16-04-2026,35.96,35.8,40.0,35.8,37.3,37.1,37.32,27987,10.45,99, -, -
MAHAPE-RE,BE,17-04-2026,37.1,37.5,37.5,36.1,37.3,36.91,36.58,13288,4.86,88, -, -
MAHAPE-RE,BE,20-04-2026,36.91,34.01,39.0,34.01,36.15,35.16,36.33,15995,5.81,96, -, -
