SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MARINE,SM,02-05-2019,101.0,103.0,103.6,103.0,103.6,103.6,103.23,"6,000","6,19,400.00",3,-,-
MARINE,SM,08-05-2019,101.0,101.75,103.9,101.75,102.6,102.6,102.75,"6,000","6,16,500.00",3,-,-
MARINE,SM,10-05-2019,103.25,104.0,104.5,102.0,104.5,104.5,103.5,"6,000","6,21,000.00",3,-,-
MARINE,SM,14-05-2019,100.0,101.0,101.25,101.0,101.25,101.25,101.12,"6,000","6,06,700.00",3,-,-
MARINE,SM,01-07-2019,102.0,102.3,102.3,101.0,101.0,101.0,101.77,"6,000","6,10,600.00",3,-,-
MARINE,SM,02-07-2019,101.0,101.4,101.6,101.0,101.6,101.6,101.33,"6,000","6,08,000.00",3,-,-
MARINE,SM,27-10-2019,100.0,101.0,101.75,101.0,101.75,101.75,101.42,"6,000","6,08,500.00",3,-,-
MARINE,SM,01-02-2020,97.25,100.0,100.75,100.0,100.25,100.25,100.38,"10,000","10,03,800.00",5,-,-
MARINE,SM,19-02-2020,98.05,99.0,99.75,98.75,99.75,99.75,99.12,"10,000","9,91,200.00",5,-,-
MARINE,SM,25-03-2020,88.75,88.0,88.1,88.0,88.1,88.05,88.05,"6,000","5,28,300.00",3,-,-
MARINE,SM,01-04-2020,90.05,89.75,89.95,89.7,89.95,89.95,89.8,"6,000","5,38,800.00",3,-,-
MARINE,SM,03-04-2020,89.95,89.7,89.75,88.95,88.95,88.95,89.47,"6,000","5,36,800.00",3,-,-
MARINE,SM,07-05-2020,90.1,89.0,90.0,89.0,89.75,89.75,89.58,"6,000","5,37,500.00",3,-,-
MARINE,SM,18-08-2020,87.55,87.6,87.6,85.05,85.05,85.05,86.1,"6,000","5,16,600.00",3,-,-
MARINE,SM,19-08-2020,85.05,85.1,85.1,82.5,82.5,82.5,83.87,"6,000","5,03,200.00",3,-,-
MARINE,SM,14-10-2020,171.55,173.0,173.0,170.0,170.25,170.25,171.08,"6,000","10,26,500.00",3,-,-
MARINE,SM,20-10-2020,172.0,174.75,174.75,171.55,171.55,172.15,172.71,"10,000","17,27,100.00",5,-,-
