SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MARSONS,EQ,13-03-2026,136.05,137.0,152.0,137.0,142.0,138.54,142.17,"9,07,069","12,89,57,263.96","7,649","1,25,178",13.8
MARSONS,EQ,16-03-2026,138.54,138.8,141.89,132.25,133.78,133.24,136.78,491325,672.01,3861, 43329,8.82
MARSONS,EQ,17-03-2026,133.24,133.9,139.59,131.51,133.79,133.15,136.08,650866,885.71,6105, 208166,31.98
MARSONS,EQ,18-03-2026,133.15,132.91,142.5,132.76,138.72,137.95,138.33,501163,693.28,7153, 103984,20.75
MARSONS,EQ,19-03-2026,137.95,136.9,139.99,131.25,133.39,133.2,136.65,362360,495.15,3412, 135441,37.38
MARSONS,EQ,20-03-2026,133.2,134.25,138.99,132.5,134.85,133.97,136.56,479939,655.4,4781, 89871,18.73
MARSONS,EQ,23-03-2026,133.97,133.97,134.85,124.02,127.4,125.87,129.52,413760,535.92,4465, 118447,28.63
MARSONS,EQ,24-03-2026,125.87,129.5,138.25,128.76,130.0,131.99,132.28,931519,1232.24,5397, 273637,29.38
MARSONS,EQ,25-03-2026,131.99,132.0,144.12,131.52,135.5,136.31,137.74,1431837,1972.16,8358, 484985,33.87
MARSONS,EQ,27-03-2026,136.31,138.34,138.79,130.5,131.0,132.12,133.68,819301,1095.27,7504, 386096,47.13
MARSONS,EQ,30-03-2026,132.12,133.65,134.85,120.0,120.9,122.97,128.93,1170283,1508.8,4725, 771873,65.96
MARSONS,EQ,01-04-2026,122.97,124.99,137.89,124.15,133.9,133.82,133.71,917242,1226.42,8591, 225732,24.61
MARSONS,EQ,02-04-2026,133.82,132.9,138.34,131.51,136.84,135.87,134.82,652660,879.94,4047, 148074,22.69
MARSONS,EQ,06-04-2026,135.87,136.45,144.46,135.53,138.5,140.32,139.76,2089622,2920.39,11049, 640491,30.65
MARSONS,EQ,07-04-2026,140.32,139.99,141.95,134.01,136.7,136.34,138.24,2174023,3005.3,8919, 253210,11.65
MARSONS,EQ,08-04-2026,136.34,138.05,144.35,138.0,141.95,139.63,140.43,1987753,2791.48,7289, 228093,11.47
MARSONS,EQ,09-04-2026,139.63,139.48,143.7,136.25,138.79,137.24,139.47,1076971,1502.02,6156, 141949,13.18
MARSONS,EQ,10-04-2026,137.24,139.45,141.75,135.5,139.0,136.99,138.49,2665904,3692.09,8969, 327211,12.27
MARSONS,EQ,13-04-2026,136.99,136.0,154.0,135.5,151.1,150.99,146.79,1728231,2536.87,8548, 555031,32.12
MARSONS,EQ,15-04-2026,150.99,152.0,161.99,152.0,157.5,157.1,157.14,1479421,2324.75,8980, 415929,28.11
MARSONS,EQ,16-04-2026,157.1,159.5,162.68,155.32,159.0,159.05,158.86,1299910,2065.08,6728, 234285,18.02
MARSONS,EQ,17-04-2026,159.05,159.99,168.9,159.5,167.7,167.21,165.23,2695112,4453.03,11595, 816061,30.28
MARSONS,EQ,20-04-2026,167.21,173.0,173.0,162.5,163.15,164.1,168.0,2041915,3430.47,9113, 718599, 35.19
