SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MCCHRLS-B,EQ,20-04-2026,692.1,690.0,690.0,676.0,676.0,676.0,681.84,26,"17,727.90",12,24,92.31
MCCHRLS-B,EQ,21-04-2026,676.0,710.0,710.0,685.0,685.0,685.0,689.17,6,0.04,2,6,100.0
MCCHRLS-B,EQ,22-04-2026,685.0,690.0,690.0,670.0,688.0,679.25,687.61,66,0.45,10,65,98.48
MCCHRLS-B,EQ,23-04-2026,679.25,690.0,690.0,670.0,690.0,673.75,673.59,64,0.43,7,64,100.0
MCCHRLS-B,EQ,24-04-2026,673.75,687.95,690.0,687.95,689.0,690.0,689.93,221,1.52,8,221,100.0
MCCHRLS-B,EQ,27-04-2026,690.0,740.0,740.0,660.0,690.0,689.6,676.24,254,1.72,28,247,97.24
MCCHRLS-B,EQ,28-04-2026,689.6,689.95,690.0,625.05,690.0,678.35,666.63,34,0.23,17,32,94.12
MCCHRLS-B,EQ,29-04-2026,678.35,690.0,690.0,685.0,685.0,685.0,685.83,6,0.04,2,6,100.0
MCCHRLS-B,EQ,30-04-2026,685.0,730.0,730.0,654.3,690.0,682.35,673.49,75,0.51,15,72,96.0
MCCHRLS-B,EQ,04-05-2026,682.35,779.95,779.95,665.05,690.0,685.1,687.05,37,0.25,20, 32, 86.49
