SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MERCANTILE,EQ,20-04-2026,23.0,19.0,24.0,19.0,24.0,22.1,19.75,543,"10,722.15",19,501,92.27
MERCANTILE,EQ,21-04-2026,22.1,21.25,24.0,21.25,23.85,23.4,23.34,1029,0.24,33,953,92.61
MERCANTILE,EQ,22-04-2026,23.4,24.55,24.7,20.0,23.45,22.85,21.89,2085,0.46,50,1588,76.16
MERCANTILE,EQ,23-04-2026,22.85,22.8,24.45,21.2,23.45,23.2,23.19,1236,0.29,17,1126,91.1
MERCANTILE,EQ,24-04-2026,23.2,23.55,23.55,21.25,21.4,21.65,22.11,1328,0.29,34,664,50.0
MERCANTILE,EQ,27-04-2026,21.65,21.65,23.75,21.65,23.0,21.75,22.75,910,0.21,51,840,92.31
MERCANTILE,EQ,28-04-2026,21.75,22.45,22.8,21.75,21.75,22.1,22.17,657,0.15,21,555,84.47
MERCANTILE,EQ,29-04-2026,22.1,23.45,23.95,21.45,23.0,22.65,22.77,4828,1.1,86,3872,80.2
MERCANTILE,EQ,30-04-2026,22.65,23.95,23.95,22.25,23.15,23.15,23.15,413,0.1,24,279,67.55
MERCANTILE,EQ,04-05-2026,23.15,24.4,24.4,22.22,22.24,24.03,24.2,1557,0.38,24,1507,96.79
MERCANTILE,EQ,06-05-2026,24.27,25.39,25.4,24.0,25.4,24.8,24.78,2936,0.73,105,2908,99.05
MERCANTILE,EQ,05-05-2026,24.03,24.99,24.99,23.0,24.2,24.27,24.31,10546,2.56,110, 4285, 40.63
