SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
METROGLOBL,EQ,20-04-2026,135.1,135.5,149.0,128.0,132.9,129.2,135.1,"4,799","6,48,360.85",83,"4,263",88.83
METROGLOBL,EQ,21-04-2026,129.2,140.0,140.0,125.0,131.9,126.65,133.62,2703,3.61,80, 2161,79.95
METROGLOBL,EQ,22-04-2026,126.65,133.15,140.0,126.1,131.25,133.05,133.59,7401,9.89,158, 5060,68.37
METROGLOBL,EQ,23-04-2026,133.05,137.6,141.95,128.4,131.55,131.55,132.54,1285,1.7,69, 1031,80.23
METROGLOBL,EQ,24-04-2026,131.55,126.1,129.9,123.95,129.2,128.95,126.07,747,0.94,46, 678,90.76
METROGLOBL,EQ,27-04-2026,128.95,128.95,136.8,110.0,126.3,128.3,127.31,345,0.44,43, 288,83.48
METROGLOBL,EQ,28-04-2026,128.3,128.3,130.0,121.05,130.0,124.6,125.06,713,0.89,30, 679,95.23
METROGLOBL,EQ,29-04-2026,124.6,128.8,128.8,128.8,128.8,128.8,128.8,101,0.13,2, 101,100.0
METROGLOBL,EQ,30-04-2026,128.8,128.8,134.5,125.1,134.5,134.5,128.39,62,0.08,5, 50,80.65
METROGLOBL,EQ,04-05-2026,134.5,134.5,134.5,125.0,125.3,125.31,130.48,764,1.0,52, 583,76.31
METROGLOBL,EQ,06-05-2026,127.3,127.3,132.0,125.0,132.0,129.75,129.58,424,0.55,29, 417,98.35
METROGLOBL,EQ,05-05-2026,125.31,125.3,127.3,125.3,127.3,127.3,126.17,134,0.17,10, 134, 100.00
