SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MITTAL,SM,20-08-2018,23.75,23.9,23.9,23.7,23.7,23.7,23.79,"30,000","7,13,700.00",5,-,-
MITTAL,SM,31-08-2018,22.9,22.95,22.95,22.85,22.85,22.85,22.88,"18,000","4,11,900.00",3,-,-
MITTAL,SM,08-10-2018,20.65,20.95,20.95,20.55,20.6,20.6,20.7,"18,000","3,72,600.00",3,-,-
MITTAL,SM,10-10-2018,20.05,19.65,19.75,19.65,19.75,19.75,19.7,"18,000","3,54,600.00",3,-,-
MITTAL,SM,11-10-2018,19.75,18.95,19.0,18.95,18.95,18.95,18.97,"18,000","3,41,400.00",3,-,-
MITTAL,SM,07-11-2018,30.45,31.0,32.0,31.0,32.0,31.75,31.5,"18,000","5,67,000.00",3,-,-
MITTAL,SM,05-12-2018,36.5,35.95,35.95,35.55,35.9,35.9,35.8,"18,000","6,44,400.00",3,-,-
MITTAL,SM,11-12-2018,33.0,31.55,31.65,31.55,31.65,31.65,31.6,"18,000","5,68,800.00",3,-,-
MITTAL,SM,17-01-2019,75.7,77.1,79.35,77.1,79.25,79.3,78.27,"36,000","28,17,600.00",6,-,-
MITTAL,SM,05-02-2019,93.75,98.25,98.35,98.2,98.35,98.35,98.26,"42,000","41,27,100.00",7,-,-
MITTAL,SM,12-04-2019,123.1,125.0,125.6,125.0,125.6,125.6,125.38,"9,000","11,28,450.00",6,-,-
MITTAL,SM,03-07-2019,101.4,101.35,101.4,101.3,101.4,101.4,101.35,"7,500","7,60,125.00",3,-,-
MITTAL,SM,09-01-2020,102.1,97.0,106.1,97.0,102.35,102.35,102.43,"10,000","10,24,250.00",8,-,-
MITTAL,SM,30-03-2020,93.05,88.4,94.0,88.4,93.85,93.85,92.08,"3,750","3,45,312.50",3,-,-
MITTAL,SM,03-04-2020,91.9,91.2,92.1,91.2,92.1,92.05,91.77,"3,750","3,44,125.00",3,-,-
MITTAL,SM,24-04-2020,102.9,103.0,103.1,103.0,103.1,103.1,103.05,"3,750","3,86,437.50",3,-,-
MITTAL,EQ,13-08-2025,1.62,1.64,1.66,1.6,1.62,1.61,1.63,375067,6.11,449, 293034, 78.13
MITTAL,EQ,14-08-2025,1.61,1.62,1.65,1.6,1.63,1.61,1.62,180699,2.93,363, 148941, 82.42
MITTAL,EQ,12-08-2025,1.63,1.63,1.65,1.61,1.62,1.62,1.63,236743,3.86,416, 232362, 98.15
