SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MOBANK10,EQ,10-04-2026,15.79,16.57,16.75,16.57,16.75,16.74,16.7,"8,983","1,50,026.18",37,"4,870",54.21
MOBANK10,EQ,13-04-2026,16.74,16.82,16.82,16.35,16.62,16.61,16.53,20118,3.33,66, 11131,55.33
MOBANK10,EQ,15-04-2026,16.61,16.9,16.95,16.81,16.86,16.86,16.87,19451,3.28,50, 11705,60.18
MOBANK10,EQ,16-04-2026,16.86,16.93,16.98,16.73,16.73,16.73,16.88,22015,3.72,41, 21996,99.91
MOBANK10,EQ,17-04-2026,16.73,16.73,16.87,16.73,16.87,16.87,16.79,6969,1.17,29, 6660,95.57
MOBANK10,EQ,20-04-2026,16.87,17.18,17.18,16.85,16.86,16.86,16.99,7807,1.33,61, 5679,72.74
MOBANK10,EQ,21-04-2026,16.86,17.03,17.16,17.03,17.14,17.14,17.1,4003,0.68,37, 2650,66.2
MOBANK10,EQ,22-04-2026,17.14,17.14,17.14,16.94,17.0,17.01,17.03,7972,1.36,93, 7900,99.1
MOBANK10,EQ,23-04-2026,17.01,16.85,16.91,16.72,16.89,16.8,16.81,57519,9.67,84, 51783,90.03
MOBANK10,EQ,24-04-2026,16.8,16.8,16.8,16.63,16.74,16.72,16.72,25377,4.24,73, 24208,95.39
MOBANK10,EQ,27-04-2026,16.72,16.72,16.76,16.64,16.74,16.74,16.7,2584,0.43,42, 2037,78.83
MOBANK10,EQ,28-04-2026,16.74,16.68,16.77,16.48,16.49,16.51,16.63,3776,0.63,56, 3671,97.22
MOBANK10,EQ,29-04-2026,16.51,16.59,16.66,16.48,16.48,16.48,16.54,23208,3.84,36, 22883,98.6
MOBANK10,EQ,30-04-2026,16.48,16.48,16.48,16.17,16.36,16.35,16.31,22266,3.63,63, 16593,74.52
MOBANK10,EQ,04-05-2026,16.35,16.42,16.53,16.27,16.38,16.34,16.47,2076,0.34,76, 2011,96.87
MOBANK10,EQ,06-05-2026,16.22,16.31,16.65,16.18,16.65,16.65,16.34,12043,1.97,40, 6720,55.8
MOBANK10,EQ,05-05-2026,16.34,16.28,16.29,16.1,16.22,16.22,16.17,19184,3.1,46, 11151, 58.13
